name,year,month,day,hour,lat,long,wind,pressure
Amy,1975,6,27,0,27.5,-79,25,1013
Amy,1975,6,27,6,28.5,-79,25,1013
Amy,1975,6,27,12,29.5,-79,25,1013
Amy,1975,6,27,18,30.5,-79,25,1013
Amy,1975,6,28,0,31.5,-78.8,25,1012
Amy,1975,6,28,6,32.4,-78.7,25,1012
Amy,1975,6,28,12,33.3,-78,25,1011
Amy,1975,6,28,18,34,-77,30,1006
Amy,1975,6,29,0,34.4,-75.8,35,1004
Amy,1975,6,29,6,34,-74.8,40,1002
Amy,1975,6,29,12,33.8,-73.8,45,1000
Amy,1975,6,29,18,33.8,-72.8,50,998
Amy,1975,6,30,0,34.3,-71.6,50,998
Amy,1975,6,30,6,35.6,-70.8,55,998
Amy,1975,6,30,12,35.9,-70.5,60,987
Amy,1975,6,30,18,36.2,-70.2,60,987
Amy,1975,7,1,0,36.2,-69.8,60,984
Amy,1975,7,1,6,36.2,-69.4,60,984
Amy,1975,7,1,12,36.2,-68.3,60,984
Amy,1975,7,1,18,36.7,-67.2,60,984
Amy,1975,7,2,0,37.4,-66.7,60,984
Amy,1975,7,2,6,37.3,-65.9,60,984
Amy,1975,7,2,12,37.3,-65.1,60,981
Amy,1975,7,2,18,37.3,-64.1,60,986
Amy,1975,7,3,0,37.7,-62.8,55,986
Amy,1975,7,3,6,38.2,-61.2,55,986
Amy,1975,7,3,12,39.3,-59.6,55,986
Amy,1975,7,3,18,40.5,-58,50,986
Amy,1975,7,4,0,42.5,-54.8,50,986
Amy,1975,7,4,6,44.5,-51.6,50,986
Amy,1975,7,4,12,47,-48,45,995
Blanche,1975,7,24,0,26,-68.4,20,1014
Blanche,1975,7,24,6,26,-69.5,20,1014
Blanche,1975,7,24,12,26.1,-70.5,25,1014
Blanche,1975,7,24,18,26.5,-71.5,30,1013
Blanche,1975,7,25,0,27.2,-72.5,30,1012
Blanche,1975,7,25,6,28,-73.6,30,1010
Blanche,1975,7,25,12,28.9,-74.3,30,1007
Blanche,1975,7,25,18,29.9,-74.9,30,1006
Blanche,1975,7,26,0,31,-75,30,1005
Blanche,1975,7,26,6,32.2,-74.6,35,1004
Blanche,1975,7,26,12,33.4,-73.5,35,1003
Blanche,1975,7,26,18,34.2,-72.2,50,998
Blanche,1975,7,27,0,35,-71,60,992
Blanche,1975,7,27,6,35.9,-70,65,987
Blanche,1975,7,27,12,36.9,-69,70,984
Blanche,1975,7,27,18,37.9,-68,75,981
Blanche,1975,7,28,0,39.3,-67.2,75,980
Blanche,1975,7,28,6,41.2,-66.4,70,980
Blanche,1975,7,28,12,44,-65.2,60,988
Blanche,1975,7,28,18,47.2,-62.4,60,992
Caroline,1975,8,24,12,22.4,-69.8,25,1011
Caroline,1975,8,24,18,21.9,-71.1,25,1011
Caroline,1975,8,25,0,21.6,-72.5,25,1010
Caroline,1975,8,25,6,21.2,-73.8,25,1010
Caroline,1975,8,25,12,20.9,-75.1,25,1011
Caroline,1975,8,25,18,20.6,-76.4,25,1011
Caroline,1975,8,26,0,20.4,-77.7,25,1011
Caroline,1975,8,26,6,20.3,-79,25,1011
Caroline,1975,8,26,12,20.2,-80.3,25,1012
Caroline,1975,8,26,18,20.2,-81.6,25,1012
Caroline,1975,8,27,0,20.4,-82.8,25,1013
Caroline,1975,8,27,6,20.8,-84,25,1013
Caroline,1975,8,27,12,21.1,-85.1,25,1014
Caroline,1975,8,27,18,21.5,-86.3,25,1014
Caroline,1975,8,28,0,22,-87.5,25,1014
Caroline,1975,8,28,6,22.4,-88.8,25,1014
Caroline,1975,8,28,12,22.8,-90.1,25,1013
Caroline,1975,8,28,18,22.9,-91,25,1010
Caroline,1975,8,29,0,23,-91.9,30,1007
Caroline,1975,8,29,6,23.1,-92.6,35,1003
Caroline,1975,8,29,12,23.2,-93.2,40,999
Caroline,1975,8,29,18,23.2,-93.6,50,994
Caroline,1975,8,30,0,23.3,-94.2,65,990
Caroline,1975,8,30,6,23.5,-94.9,65,990
Caroline,1975,8,30,12,23.7,-95.6,65,989
Caroline,1975,8,30,18,23.8,-96.3,70,987
Caroline,1975,8,31,0,24,-97,100,973
Caroline,1975,8,31,6,24.1,-97.5,100,963
Caroline,1975,8,31,12,24.3,-97.8,90,963
Caroline,1975,8,31,18,24.8,-98,55,993
Caroline,1975,9,1,0,25.1,-98.3,30,1000
Caroline,1975,9,1,6,25.2,-98.7,20,1002
Caroline,1975,9,1,12,25.3,-99,20,1002
Doris,1975,8,28,12,33.3,-46.3,35,1005
Doris,1975,8,28,18,33.6,-47.5,40,1005
Doris,1975,8,29,0,34.5,-48.1,40,1005
Doris,1975,8,29,6,34.7,-48.5,45,1005
Doris,1975,8,29,12,34.9,-48.9,45,1005
Doris,1975,8,29,18,35.2,-49.1,50,1000
Doris,1975,8,30,0,35.3,-48.9,55,997
Doris,1975,8,30,6,35.3,-48.5,55,997
Doris,1975,8,30,12,35.3,-48,55,997
Doris,1975,8,30,18,35,-47.1,55,997
Doris,1975,8,31,0,34.9,-46.3,65,990
Doris,1975,8,31,6,34.8,-45.7,65,990
Doris,1975,8,31,12,34.7,-45.2,70,990
Doris,1975,8,31,18,34.6,-44.9,70,990
Doris,1975,9,1,0,34.5,-44.6,75,984
Doris,1975,9,1,6,34.6,-44.2,75,984
Doris,1975,9,1,12,34.9,-44,75,984
Doris,1975,9,1,18,35.4,-44,75,984
Doris,1975,9,2,0,35.8,-44.4,90,970
Doris,1975,9,2,6,36.4,-44.5,95,965
Doris,1975,9,2,12,37,-44.3,95,965
Doris,1975,9,2,18,37.7,-44.2,95,965
Doris,1975,9,3,0,38.4,-43.8,95,965
Doris,1975,9,3,6,39.7,-43.6,95,965
Doris,1975,9,3,12,41.1,-43,95,965
Doris,1975,9,3,18,42,-42.5,90,970
Doris,1975,9,4,0,42.8,-42,60,995
Doris,1975,9,4,6,43.2,-41.4,45,1005
Doris,1975,9,4,12,43.5,-40.7,45,1005
Eloise,1975,9,13,12,17.6,-55.2,25,1009
Eloise,1975,9,13,18,17.7,-56.3,25,1009
Eloise,1975,9,14,0,17.8,-57.3,25,1009
Eloise,1975,9,14,6,17.9,-58.3,25,1009
Eloise,1975,9,14,12,18,-59.4,25,1009
Eloise,1975,9,14,18,18.1,-60.5,25,1009
Eloise,1975,9,15,0,18.3,-61.7,25,1009
Eloise,1975,9,15,6,18.5,-62.8,25,1009
Eloise,1975,9,15,12,18.8,-63.8,30,1007
Eloise,1975,9,15,18,18.9,-64.8,30,1007
Eloise,1975,9,16,0,19,-65.6,35,1007
Eloise,1975,9,16,6,19.2,-66.7,45,1007
Eloise,1975,9,16,12,19.4,-67.5,55,1002
Eloise,1975,9,16,18,19.5,-68.4,65,1002
Eloise,1975,9,17,0,19.6,-69.2,65,997
Eloise,1975,9,17,6,19.7,-70.2,60,1000
Eloise,1975,9,17,12,19.7,-71.2,55,1000
Eloise,1975,9,17,18,19.8,-72.2,50,1000
Eloise,1975,9,18,0,19.9,-73.3,45,1000
Eloise,1975,9,18,6,19.9,-74.5,45,1000
Eloise,1975,9,18,12,19.9,-75.7,40,1000
Eloise,1975,9,18,18,20,-77,40,1000
Eloise,1975,9,19,0,20,-78.2,35,1000
Eloise,1975,9,19,6,19.9,-79.1,35,1000
Eloise,1975,9,19,12,19.9,-79.8,35,1000
Eloise,1975,9,19,18,19.8,-81,35,1000
Eloise,1975,9,20,0,19.8,-82.2,35,1000
Eloise,1975,9,20,6,19.8,-83.4,35,1000
Eloise,1975,9,20,12,19.9,-84.6,35,1006
Eloise,1975,9,20,18,20,-85.5,35,1006
Eloise,1975,9,21,0,20.2,-86.4,40,1001
Eloise,1975,9,21,6,20.8,-87.1,45,1001
Eloise,1975,9,21,12,21.4,-87.8,50,1001
Eloise,1975,9,21,18,22.4,-88.5,55,995
Eloise,1975,9,22,0,23.6,-88.9,60,995
Eloise,1975,9,22,6,24.8,-89.4,65,993
Eloise,1975,9,22,12,25.8,-89.5,75,986
Eloise,1975,9,22,18,26.5,-89.4,85,980
Eloise,1975,9,23,0,27.3,-88.5,95,968
Eloise,1975,9,23,6,28.4,-87.3,105,958
Eloise,1975,9,23,12,30.2,-86.3,110,955
Eloise,1975,9,23,18,33,-85.7,55,982
Eloise,1975,9,24,0,35.5,-84.3,30,999
Eloise,1975,9,24,6,36.5,-83.5,20,1004
Eloise,1975,9,24,12,37,-82.5,20,1004
Eloise,1975,9,24,18,37.5,-81.5,20,1004
Faye,1975,9,24,18,23,-56.9,25,1005
Faye,1975,9,25,0,23.8,-57.2,30,1005
Faye,1975,9,25,6,24.2,-58.1,35,1005
Faye,1975,9,25,12,24.8,-58.8,45,999
Faye,1975,9,25,18,25.5,-59.4,60,993
Faye,1975,9,26,0,26.5,-60,65,990
Faye,1975,9,26,6,27.9,-60.9,70,988
Faye,1975,9,26,12,29.6,-62,75,985
Faye,1975,9,26,18,31,-63.1,85,985
Faye,1975,9,27,0,32.7,-64.2,90,985
Faye,1975,9,27,6,34.4,-65.2,90,979
Faye,1975,9,27,12,36.1,-65.7,90,982
Faye,1975,9,27,18,37.4,-65,90,985
Faye,1975,9,28,0,38.4,-63.7,85,985
Faye,1975,9,28,6,39.8,-60.5,80,985
Faye,1975,9,28,12,41,-57.1,75,979
Faye,1975,9,28,18,42.3,-52,75,977
Faye,1975,9,29,0,42.8,-46,70,977
Faye,1975,9,29,6,42.9,-40,65,977
Gladys,1975,9,22,18,10.3,-34.8,25,1012
Gladys,1975,9,23,0,10.6,-35.8,25,1012
Gladys,1975,9,23,6,11,-36.7,25,1012
Gladys,1975,9,23,12,11.4,-37.4,25,1012
Gladys,1975,9,23,18,11.7,-38.2,30,1010
Gladys,1975,9,24,0,12.1,-38.8,30,1010
Gladys,1975,9,24,6,12.4,-39.6,30,1010
Gladys,1975,9,24,12,12.9,-40,30,1010
Gladys,1975,9,24,18,13.5,-40.4,35,1005
Gladys,1975,9,25,0,14.2,-41,40,1005
Gladys,1975,9,25,6,14.8,-42,50,1000
Gladys,1975,9,25,12,15.4,-43,60,1000
Gladys,1975,9,25,18,15.8,-44,65,990
Gladys,1975,9,26,0,16.2,-45,65,990
Gladys,1975,9,26,6,16.4,-46.1,65,990
Gladys,1975,9,26,12,16.6,-47.7,65,990
Gladys,1975,9,26,18,16.8,-49.3,65,990
Gladys,1975,9,27,0,17.1,-50.7,65,990
Gladys,1975,9,27,6,17.6,-52.2,65,990
Gladys,1975,9,27,12,18.2,-53.7,65,990
Gladys,1975,9,27,18,18.8,-55.1,65,990
Gladys,1975,9,28,0,19.4,-56.4,65,992
Gladys,1975,9,28,6,19.6,-57.4,65,992
Gladys,1975,9,28,12,19.8,-58.2,65,1000
Gladys,1975,9,28,18,20.3,-59.3,65,998
Gladys,1975,9,29,0,21.2,-60.3,65,995
Gladys,1975,9,29,6,22.1,-61.4,70,990
Gladys,1975,9,29,12,23,-62.6,70,990
Gladys,1975,9,29,18,23.6,-63.9,75,985
Gladys,1975,9,30,0,24.1,-65.2,80,975
Gladys,1975,9,30,6,24.6,-66.5,80,975
Gladys,1975,9,30,12,25.1,-67.9,80,975
Gladys,1975,9,30,18,25.6,-69.3,80,975
Gladys,1975,10,1,0,26.1,-70.6,80,975
Gladys,1975,10,1,6,26.8,-71.7,80,975
Gladys,1975,10,1,12,27.9,-72.4,80,975
Gladys,1975,10,1,18,29.4,-73,90,969
Gladys,1975,10,2,0,31,-73,100,954
Gladys,1975,10,2,6,32.9,-72.1,110,942
Gladys,1975,10,2,12,35.3,-69.8,120,939
Gladys,1975,10,2,18,37.8,-67,120,939
Gladys,1975,10,3,0,40.8,-62.6,110,950
Gladys,1975,10,3,6,43.7,-57,85,960
Gladys,1975,10,3,12,46.6,-50.6,85,960
Gladys,1975,10,3,18,50.5,-45.5,75,975
Gladys,1975,10,4,0,55,-40,65,980
Hallie,1975,10,24,18,29.1,-79.3,30,1006
Hallie,1975,10,25,0,28.8,-79,30,1006
Hallie,1975,10,25,6,29.4,-79.4,30,1006
Hallie,1975,10,25,12,30,-79.7,30,1006
Hallie,1975,10,25,18,30.2,-79.8,30,1006
Hallie,1975,10,26,0,30.5,-79.9,30,1006
Hallie,1975,10,26,6,30.9,-80.1,30,1006
Hallie,1975,10,26,12,31.8,-79.6,30,1005
Hallie,1975,10,26,18,32.5,-78.7,35,1003
Hallie,1975,10,27,0,33.5,-77.5,45,1002
Hallie,1975,10,27,6,34.5,-75.5,45,1002
Hallie,1975,10,27,12,35.7,-73.8,45,1004
Hallie,1975,10,27,18,36.4,-72.6,40,1006
