Epoch 0, Average Loss 95.16775810342766
Test Loss: 0.9207512980792671
Epoch 1, Average Loss 0.2689598187512447
Epoch 2, Average Loss 0.022465351353034
Epoch 3, Average Loss 0.00905699855382731
Epoch 4, Average Loss 0.004165188098548104
Epoch 5, Average Loss 0.00267165265766472
Epoch 6, Average Loss 0.002281919656018579
Epoch 7, Average Loss 0.0018583160475873805
Epoch 8, Average Loss 0.0022686644298360826
Epoch 9, Average Loss 0.001402595165559375
Epoch 10, Average Loss 0.0019628454407395594
Test Loss: 0.0022112215468951036
Epoch 11, Average Loss 0.0021960230880745547
Epoch 12, Average Loss 0.0014972825432594135
Epoch 13, Average Loss 0.001760370971445625
Epoch 14, Average Loss 0.0011974929391127963
Epoch 15, Average Loss 0.001011279663785738
Epoch 16, Average Loss 0.00086948152427426
Epoch 17, Average Loss 0.0007853751785890531
Epoch 18, Average Loss 0.0007284532396889644
Epoch 19, Average Loss 0.0006895543899386384
Epoch 20, Average Loss 0.0005604594520310123
Test Loss: 0.0006791659267037176
Epoch 21, Average Loss 0.0005147093343802674
Epoch 22, Average Loss 0.0006227742787008469
Epoch 23, Average Loss 0.0005474193443476422
Epoch 24, Average Loss 0.0005540663142146284
Epoch 25, Average Loss 0.0008767646392088058
Epoch 26, Average Loss 0.000598334137446474
Epoch 27, Average Loss 0.0003698969144755245
Epoch 28, Average Loss 0.00034594862660889726
Epoch 29, Average Loss 0.0002929914349299941
Epoch 30, Average Loss 0.000260789427131063
Test Loss: 0.0003175968613504665
Epoch 31, Average Loss 0.00022726149307092345
Epoch 32, Average Loss 0.0002545652022018669
Epoch 33, Average Loss 0.0002171561832313538
Epoch 34, Average Loss 0.00035495597608766003
Epoch 35, Average Loss 0.0002773435548642968
Epoch 36, Average Loss 0.00018018482315031327
Epoch 37, Average Loss 0.00021826677443008338
Epoch 38, Average Loss 0.0005263069530100657
Epoch 39, Average Loss 0.0003054688242996293
Epoch 40, Average Loss 0.00013955498904084102
Test Loss: 0.0002492069759682636
Epoch 41, Average Loss 0.0002801390483288247
Epoch 42, Average Loss 0.00044293026297377244
Epoch 43, Average Loss 0.00035365419730796815
Epoch 44, Average Loss 0.00015846843121789214
Epoch 45, Average Loss 0.00012987736116411736
Epoch 46, Average Loss 0.00012944736556187597
Epoch 47, Average Loss 0.0001519721746101627
Epoch 48, Average Loss 0.00010521534762960119
Epoch 49, Average Loss 0.00010161359782441766
Epoch 50, Average Loss 0.00010524404009502868
Test Loss: 0.0010129218934480377
Epoch 51, Average Loss 0.00037307108905397285
Epoch 52, Average Loss 0.0003636614048411525
Epoch 53, Average Loss 0.0003065817329829597
Epoch 54, Average Loss 8.347907519640137e-05
Epoch 55, Average Loss 0.00017339654242059163
Epoch 56, Average Loss 0.0018471193162682379
Epoch 57, Average Loss 0.0005775451871869923
Epoch 58, Average Loss 0.00019501101395333166
Epoch 59, Average Loss 0.00015558089387324593
Epoch 60, Average Loss 0.000115099238428229
Test Loss: 0.00011058851486609456
Epoch 61, Average Loss 8.161464036306767e-05
Epoch 62, Average Loss 8.275212817525128e-05
Epoch 63, Average Loss 8.244396773494097e-05
Epoch 64, Average Loss 0.00011907963472897134
Epoch 65, Average Loss 0.00016694844689309435
Epoch 66, Average Loss 7.036535069208276e-05
Epoch 67, Average Loss 6.451509848029903e-05
Epoch 68, Average Loss 5.823598055514272e-05
Epoch 69, Average Loss 4.2214761684803466e-05
Epoch 70, Average Loss 7.406354929047712e-05
Test Loss: 0.0001502262967619572
Epoch 71, Average Loss 4.995569602819666e-05
Epoch 72, Average Loss 4.857732551211979e-05
Epoch 73, Average Loss 8.213679808981212e-05
Epoch 74, Average Loss 8.910446800170368e-05
Epoch 75, Average Loss 5.110862173512343e-05
Epoch 76, Average Loss 7.351452368498664e-05
Epoch 77, Average Loss 5.340934274332954e-05
Epoch 78, Average Loss 7.76633885466196e-05
Epoch 79, Average Loss 0.0007115573546213996
Epoch 80, Average Loss 0.00022465465053180276
Test Loss: 0.0001475621833549212
Epoch 81, Average Loss 4.339784674403411e-05
Epoch 82, Average Loss 2.8314340943037264e-05
Epoch 83, Average Loss 2.777923515539649e-05
Epoch 84, Average Loss 2.873817355014615e-05
Epoch 85, Average Loss 2.3915949015322958e-05
Epoch 86, Average Loss 2.3955987015579935e-05
Epoch 87, Average Loss 1.8269375427548134e-05
Epoch 88, Average Loss 2.202329089566521e-05
Epoch 89, Average Loss 2.156423091409861e-05
Epoch 90, Average Loss 2.108711029035752e-05
Test Loss: 6.311441994739652e-05
Epoch 91, Average Loss 1.949149492043322e-05
Epoch 92, Average Loss 1.6855105676584088e-05
Epoch 93, Average Loss 1.6764998252074868e-05
Epoch 94, Average Loss 2.1733593497128247e-05
Epoch 95, Average Loss 1.6842964358174925e-05
Epoch 96, Average Loss 2.1842605368388093e-05
Epoch 97, Average Loss 1.7142415460311952e-05
Epoch 98, Average Loss 1.5352172803161494e-05
Epoch 99, Average Loss 1.8473776430675593e-05
Epoch 100, Average Loss 1.4808865129520534e-05
Test Loss: 6.13090800811733e-05
Epoch 101, Average Loss 1.4167847862326993e-05
Epoch 102, Average Loss 1.6855410027221608e-05
Epoch 103, Average Loss 1.599797348344682e-05
Epoch 104, Average Loss 1.7502241860256618e-05
Epoch 105, Average Loss 1.5331262720562186e-05
Epoch 106, Average Loss 1.5567578813602267e-05
Epoch 107, Average Loss 2.853761061861762e-05
Epoch 108, Average Loss 0.0001030426259808049
Epoch 109, Average Loss 7.083584728926453e-05
Epoch 110, Average Loss 1.4801102280141751e-05
Test Loss: 6.942550430721894e-05
Epoch 111, Average Loss 1.8593189882359425e-05
Epoch 112, Average Loss 2.6566645875057395e-05
Epoch 113, Average Loss 2.2428993569551322e-05
Epoch 114, Average Loss 1.5237924693701931e-05
Epoch 115, Average Loss 2.1029597316463636e-05
Epoch 116, Average Loss 1.211812601364796e-05
Epoch 117, Average Loss 1.0653772239746541e-05
Epoch 118, Average Loss 9.574138049675305e-06
Epoch 119, Average Loss 1.1558844684168722e-05
Epoch 120, Average Loss 2.1994757116196604e-05
Test Loss: 6.302605092969315e-05
Epoch 121, Average Loss 4.814532323573789e-05
Epoch 122, Average Loss 9.094864289400454e-05
Epoch 123, Average Loss 0.015710981652773626
Epoch 124, Average Loss 0.0030909066428679776
Epoch 125, Average Loss 6.842905349030145e-08
Epoch 126, Average Loss 8.514126296349511e-11
Epoch 127, Average Loss 7.181383196661379e-11
Epoch 128, Average Loss 6.696087250080706e-12
Epoch 129, Average Loss 3.5418367320416136e-12
Epoch 130, Average Loss 2.0799414625578212e-12
Test Loss: 0.0025666728615760803
Epoch 131, Average Loss 0.0
Epoch 132, Average Loss 0.0
Epoch 133, Average Loss 0.0
Epoch 134, Average Loss 0.0
Epoch 135, Average Loss 0.0
Epoch 136, Average Loss 0.0
Epoch 137, Average Loss 0.0
Epoch 138, Average Loss 0.0
Epoch 139, Average Loss 0.0
Epoch 140, Average Loss 0.0
Test Loss: 0.0025666728615760803
Epoch 141, Average Loss 0.0
Epoch 142, Average Loss 0.0
Epoch 143, Average Loss 0.0
Epoch 144, Average Loss 0.0
Epoch 145, Average Loss 0.0
Epoch 146, Average Loss 0.0
Epoch 147, Average Loss 0.0
Epoch 148, Average Loss 0.0
Epoch 149, Average Loss 0.0
Epoch 150, Average Loss 0.0
Test Loss: 0.0025666728615760803
Epoch 151, Average Loss 0.0
Epoch 152, Average Loss 0.0
Epoch 153, Average Loss 0.0
Epoch 154, Average Loss 0.0
Epoch 155, Average Loss 0.0
Epoch 156, Average Loss 0.0
Epoch 157, Average Loss 0.0
Epoch 158, Average Loss 0.0
Epoch 159, Average Loss 0.0
Epoch 160, Average Loss 0.0
Test Loss: 0.0025666728615760803
Epoch 161, Average Loss 0.0
Epoch 162, Average Loss 0.0
Epoch 163, Average Loss 0.0
Epoch 164, Average Loss 0.0
Epoch 165, Average Loss 0.0
Epoch 166, Average Loss 0.0
Epoch 167, Average Loss 0.0
Epoch 168, Average Loss 0.0
Epoch 169, Average Loss 0.0
Epoch 170, Average Loss 0.0
Test Loss: 0.0025666728615760803
Epoch 171, Average Loss 0.0
Epoch 172, Average Loss 0.0
Epoch 173, Average Loss 0.0
Epoch 174, Average Loss 0.0
Epoch 175, Average Loss 0.0
Epoch 176, Average Loss 0.0
Epoch 177, Average Loss 0.0
Epoch 178, Average Loss 0.0
Epoch 179, Average Loss 0.0
Epoch 180, Average Loss 0.0
Test Loss: 0.0025666728615760803
Epoch 181, Average Loss 0.0
Epoch 182, Average Loss 0.0
Epoch 183, Average Loss 0.0
Epoch 184, Average Loss 0.0
Epoch 185, Average Loss 0.0
Epoch 186, Average Loss 0.0
Epoch 187, Average Loss 0.0
Epoch 188, Average Loss 0.0
Epoch 189, Average Loss 0.0
Epoch 190, Average Loss 0.0
Test Loss: 0.0025666728615760803
Epoch 191, Average Loss 0.0
Epoch 192, Average Loss 0.0
Epoch 193, Average Loss 0.0
Epoch 194, Average Loss 0.0
Epoch 195, Average Loss 0.0
Epoch 196, Average Loss 0.0
Epoch 197, Average Loss 0.0
Epoch 198, Average Loss 0.0
Epoch 199, Average Loss 0.0
Epoch 200, Average Loss 0.0
Test Loss: 0.0025666728615760803
Epoch 201, Average Loss 0.0
Epoch 202, Average Loss 0.0
Epoch 203, Average Loss 0.0
Epoch 204, Average Loss 0.0
Epoch 205, Average Loss 0.0
Epoch 206, Average Loss 0.0
Epoch 207, Average Loss 0.0
Epoch 208, Average Loss 0.0
Epoch 209, Average Loss 0.0
Epoch 210, Average Loss 0.0
Test Loss: 0.0025666728615760803
Epoch 211, Average Loss 0.0
Epoch 212, Average Loss 0.0
Epoch 213, Average Loss 0.0
Epoch 214, Average Loss 0.0
Epoch 215, Average Loss 0.0
Epoch 216, Average Loss 0.0
Epoch 217, Average Loss 0.0
Epoch 218, Average Loss 0.0
Epoch 219, Average Loss 0.0
Epoch 220, Average Loss 0.0
Test Loss: 0.0025666728615760803
Epoch 221, Average Loss 0.0
Epoch 222, Average Loss 0.0
Epoch 223, Average Loss 0.0
Epoch 224, Average Loss 0.0
Epoch 225, Average Loss 0.0
Epoch 226, Average Loss 0.0
Epoch 227, Average Loss 0.0
Epoch 228, Average Loss 0.0
Epoch 229, Average Loss 0.0
Epoch 230, Average Loss 0.0
