Epoch 0, Average Loss 88.16304876446677
Test Loss: 0.13855559639632703
Epoch 1, Average Loss 0.06940333749450554
Epoch 2, Average Loss 0.03234930536591837
Epoch 3, Average Loss 0.014107899637922314
Epoch 4, Average Loss 0.007634565302707208
Epoch 5, Average Loss 0.0066096796469963335
Epoch 6, Average Loss 0.007273497810009631
Epoch 7, Average Loss 0.006237794758598733
Epoch 8, Average Loss 0.004586368659584889
Epoch 9, Average Loss 0.003579896824254619
Epoch 10, Average Loss 0.005868299551826867
Test Loss: 0.009595039719715714
Epoch 11, Average Loss 0.006331125942583467
Epoch 12, Average Loss 0.0027662540413512953
Epoch 13, Average Loss 0.003184965885718813
Epoch 14, Average Loss 0.003038738199024862
Epoch 15, Average Loss 0.004213522000387871
Epoch 16, Average Loss 0.002817141475145634
Epoch 17, Average Loss 0.0076654953484223045
Epoch 18, Average Loss 0.0019723599284070933
Epoch 19, Average Loss 0.0018568553035648516
Epoch 20, Average Loss 0.007472002426938956
Test Loss: 0.005526642309268937
Epoch 21, Average Loss 0.0017250965919387614
Epoch 22, Average Loss 0.002852311145747817
Epoch 23, Average Loss 0.020973294354824916
Epoch 24, Average Loss 0.0033131651112462005
Epoch 25, Average Loss 0.001310411301519592
Epoch 26, Average Loss 0.0010102198621673697
Epoch 27, Average Loss 0.0016543078300752382
Epoch 28, Average Loss 0.0014145312920327687
Epoch 29, Average Loss 0.0009320334174384398
Epoch 30, Average Loss 0.0010618530869129545
Test Loss: 0.0028667420876445247
Epoch 31, Average Loss 0.0006762880874691602
Epoch 32, Average Loss 0.0008137765140602398
Epoch 33, Average Loss 0.0011391368996878037
Epoch 34, Average Loss 0.0009425208685846699
Epoch 35, Average Loss 0.0009393806800128718
Epoch 36, Average Loss 0.0009269325651708825
Epoch 37, Average Loss 0.0017256815214370617
Epoch 38, Average Loss 0.0011480645410796846
Epoch 39, Average Loss 0.0010991476427286988
Epoch 40, Average Loss 0.00039905666981903315
Test Loss: 0.0010032050689915196
Epoch 41, Average Loss 0.000616061482324318
Epoch 42, Average Loss 0.0004906073383746751
Epoch 43, Average Loss 0.00020275799929377286
Epoch 44, Average Loss 0.0008166202597185245
Epoch 45, Average Loss 0.0006288000226326219
Epoch 46, Average Loss 0.00043174984112519715
Epoch 47, Average Loss 0.0024555011833295864
Epoch 48, Average Loss 0.0005933792637066129
Epoch 49, Average Loss 0.0004875783561261944
Epoch 50, Average Loss 0.0005594467276543721
Test Loss: 0.0007351604959694669
Epoch 51, Average Loss 0.00040466301168957605
Epoch 52, Average Loss 0.0015713016081566752
Epoch 53, Average Loss 0.00020961898228995756
Epoch 54, Average Loss 0.0010089297721848037
Epoch 55, Average Loss 0.0005744077110118926
Epoch 56, Average Loss 0.008037361527293556
Epoch 57, Average Loss 0.009828419194295576
Epoch 58, Average Loss 0.00060016788484063
Epoch 59, Average Loss 0.0001915002376451032
Epoch 60, Average Loss 0.00017824426993661002
Test Loss: 0.0013362286275878433
Epoch 61, Average Loss 0.00018960357874963352
Epoch 62, Average Loss 0.00033033095508161047
Epoch 63, Average Loss 0.0001570643205900236
Epoch 64, Average Loss 0.00010246419976248967
Epoch 65, Average Loss 0.00019756176239361248
Epoch 66, Average Loss 0.0003103865692307259
Epoch 67, Average Loss 0.00017569965218713093
Epoch 68, Average Loss 0.00017199006208700872
Epoch 69, Average Loss 0.00034978451652863487
Epoch 70, Average Loss 0.00033800884875169766
Test Loss: 0.001371338060562266
Epoch 71, Average Loss 0.00025632426189111334
Epoch 72, Average Loss 0.0001428094440863005
Epoch 73, Average Loss 0.0002720798133102303
Epoch 74, Average Loss 0.00021704731666086677
Epoch 75, Average Loss 8.63943698502076e-05
Epoch 76, Average Loss 0.00038052192723648945
Epoch 77, Average Loss 0.0023005386893497487
Epoch 78, Average Loss 0.0013369821938772188
Epoch 79, Average Loss 7.344617476024447e-05
Epoch 80, Average Loss 7.569527059342962e-05
Test Loss: 0.0011832349468022586
Epoch 81, Average Loss 3.742880904996173e-05
Epoch 82, Average Loss 4.214299387737661e-05
Epoch 83, Average Loss 4.3317006934903246e-05
Epoch 84, Average Loss 6.721435293693042e-05
Epoch 85, Average Loss 0.00015197680261424672
Epoch 86, Average Loss 0.00014369064713926354
Epoch 87, Average Loss 0.0016225898188041137
Epoch 88, Average Loss 0.005065140559111834
Epoch 89, Average Loss 0.00039515761766813716
Epoch 90, Average Loss 7.129895231075721e-05
Test Loss: 0.0011706932392371527
Epoch 91, Average Loss 4.4586831621282854e-05
Epoch 92, Average Loss 3.3285829563801256e-05
Epoch 93, Average Loss 2.1408640779117364e-05
Epoch 94, Average Loss 1.967308204009758e-05
Epoch 95, Average Loss 2.2809212473878723e-05
Epoch 96, Average Loss 1.7596593536950422e-05
Epoch 97, Average Loss 1.6747104219759905e-05
Epoch 98, Average Loss 9.589230478900102e-06
Epoch 99, Average Loss 2.5039440705641717e-05
Epoch 100, Average Loss 1.6834960259210433e-05
Test Loss: 0.001135325796417419
Epoch 101, Average Loss 1.1378708357317954e-05
Epoch 102, Average Loss 1.4399212356989619e-05
Epoch 103, Average Loss 3.1418883773894083e-05
Epoch 104, Average Loss 1.3591954621653735e-05
Epoch 105, Average Loss 4.2270157803303146e-05
Epoch 106, Average Loss 3.0703278338754714e-05
Epoch 107, Average Loss 2.9652212857353668e-05
Epoch 108, Average Loss 3.8668358007570634e-05
Epoch 109, Average Loss 0.00023414107774494334
Epoch 110, Average Loss 0.0006658721092288586
Test Loss: 0.001320071403279144
Epoch 111, Average Loss 0.00014797578394422942
Epoch 112, Average Loss 9.395418288488744e-05
Epoch 113, Average Loss 0.0005087637946532216
Epoch 114, Average Loss 9.856395883294289e-05
Epoch 115, Average Loss 4.578112046008847e-05
Epoch 116, Average Loss 3.776562435269867e-05
Epoch 117, Average Loss 1.9100452189814872e-05
Epoch 118, Average Loss 1.85927148339931e-05
Epoch 119, Average Loss 8.117560917416764e-06
Epoch 120, Average Loss 1.0698102944187195e-05
Test Loss: 0.0011820292321431225
Epoch 121, Average Loss 9.068525355504087e-06
Epoch 122, Average Loss 1.0216787776572127e-05
Epoch 123, Average Loss 6.60629522007806e-06
Epoch 124, Average Loss 9.438669934704908e-06
Epoch 125, Average Loss 5.976245681887997e-06
Epoch 126, Average Loss 3.025428707694199e-06
Epoch 127, Average Loss 6.9348163446886844e-06
Epoch 128, Average Loss 7.054306041565516e-06
Epoch 129, Average Loss 2.4197741508999834e-05
Epoch 130, Average Loss 1.5785351113755738e-05
Test Loss: 0.0011754832865221942
Epoch 131, Average Loss 1.4428592089211922e-05
Epoch 132, Average Loss 9.944908842061511e-06
Epoch 133, Average Loss 6.054442924841733e-06
Epoch 134, Average Loss 2.431892733056884e-05
Epoch 135, Average Loss 0.003794582401093222
Epoch 136, Average Loss 1.0564694822001098e-06
Epoch 137, Average Loss 5.866869784137939e-09
Epoch 138, Average Loss 4.092812721536011e-09
Epoch 139, Average Loss 1.4881103146061657e-09
Epoch 140, Average Loss 4.568520004634442e-09
Test Loss: 0.0006337246782753082
Epoch 141, Average Loss 5.8863294020058895e-09
Epoch 142, Average Loss 2.275145284656036e-09
Epoch 143, Average Loss 7.581030477142258e-10
Epoch 144, Average Loss 2.211855266848757e-09
Epoch 145, Average Loss 1.631138348840475e-09
Epoch 146, Average Loss 3.1914169718495912e-09
Epoch 147, Average Loss 1.0711458912403605e-09
Epoch 148, Average Loss 2.641103414335947e-09
Epoch 149, Average Loss 6.797794163058469e-09
Epoch 150, Average Loss 2.3482902352723785e-09
Test Loss: 0.0006338666330208634
Epoch 151, Average Loss 8.132394109964781e-09
Epoch 152, Average Loss 7.2885592612738796e-09
Epoch 153, Average Loss 3.7774043777322396e-09
Epoch 154, Average Loss 5.573239504566598e-09
Epoch 155, Average Loss 7.202242999788909e-09
Epoch 156, Average Loss 1.0920773826389802e-08
Epoch 157, Average Loss 1.5331395150079607e-08
Epoch 158, Average Loss 2.3159698512516204e-08
Epoch 159, Average Loss 8.985492484168457e-09
Epoch 160, Average Loss 1.3315589173561234e-08
Test Loss: 0.0006334331544000982
Epoch 161, Average Loss 7.71734378775064e-09
Epoch 162, Average Loss 2.1950498958914106e-08
Epoch 163, Average Loss 2.8796214092917507e-08
Epoch 164, Average Loss 2.9856142204925095e-08
Epoch 165, Average Loss 4.969739158456199e-08
Epoch 166, Average Loss 1.6617755447501034e-08
Epoch 167, Average Loss 2.3959018646683614e-08
