Epoch 0, Average Loss 78.35306343950236
Test Loss: 0.5851301643997431
Epoch 1, Average Loss 0.2953098675566195
Epoch 2, Average Loss 0.02196426361598829
Epoch 3, Average Loss 0.01170068497908054
Epoch 4, Average Loss 0.007239993766268503
Epoch 5, Average Loss 0.00602906671517729
Epoch 6, Average Loss 0.00432929673520966
Epoch 7, Average Loss 0.003537676139451752
Epoch 8, Average Loss 0.0035078796199626066
Epoch 9, Average Loss 0.00622492075913963
Epoch 10, Average Loss 0.006244297559325925
Test Loss: 0.004583245661342517
Epoch 11, Average Loss 0.0066968378715167014
Epoch 12, Average Loss 0.0016193880837357638
Epoch 13, Average Loss 0.0014377026791062466
Epoch 14, Average Loss 0.0011752635561802153
Epoch 15, Average Loss 0.0011686691725140295
Epoch 16, Average Loss 0.0009726707212394103
Epoch 17, Average Loss 0.0008744709957221558
Epoch 18, Average Loss 0.001444690851137319
Epoch 19, Average Loss 0.002299349638265027
Epoch 20, Average Loss 0.0010349238336512148
Test Loss: 0.0004973913593858015
Epoch 21, Average Loss 0.0006640905812213232
Epoch 22, Average Loss 0.0005511844156680575
Epoch 23, Average Loss 0.0005282938136473074
Epoch 24, Average Loss 0.0005122012339655421
Epoch 25, Average Loss 0.0005810878967766464
Epoch 26, Average Loss 0.0005757325390409796
Epoch 27, Average Loss 0.000754390499107011
Epoch 28, Average Loss 0.000509242211005067
Epoch 29, Average Loss 0.00039486358248642673
Epoch 30, Average Loss 0.0006740587673045377
Test Loss: 0.0004292043731766171
Epoch 31, Average Loss 0.0005055480776925695
Epoch 32, Average Loss 0.0006499068382438538
Epoch 33, Average Loss 0.001156730868946328
Epoch 34, Average Loss 0.001021219564307425
Epoch 35, Average Loss 0.00048766456623099337
Epoch 36, Average Loss 0.0015349166427583868
Epoch 37, Average Loss 0.000961376725770813
Epoch 38, Average Loss 0.00039953761450858653
Epoch 39, Average Loss 0.0003687841441159769
Epoch 40, Average Loss 0.0002619945703775591
Test Loss: 0.00015081820956766023
Epoch 41, Average Loss 0.00019402806013871828
Epoch 42, Average Loss 0.0005527453338777089
Epoch 43, Average Loss 0.000286526220015385
Epoch 44, Average Loss 0.00044400971209246495
Epoch 45, Average Loss 0.0003519577164608356
Epoch 46, Average Loss 0.00038187886664534836
Epoch 47, Average Loss 0.0018465811816999053
Epoch 48, Average Loss 0.002427722266849189
Epoch 49, Average Loss 0.0002357146071793793
Epoch 50, Average Loss 0.00010876378651637078
