Epoch 0, Average Loss 164.94357278098977
Test Loss: 1.2206695916131138
Epoch 1, Average Loss 1.8884641143104322
Epoch 2, Average Loss 0.4920158608230067
Epoch 3, Average Loss 0.015339544269144299
Epoch 4, Average Loss 0.007579880099024482
Epoch 5, Average Loss 0.005677151717532933
Epoch 6, Average Loss 0.004163094116536948
Epoch 7, Average Loss 0.0031744263805758466
Epoch 8, Average Loss 0.002533751196166076
Epoch 9, Average Loss 0.0022389187974504584
Epoch 10, Average Loss 0.0018969308350071652
Test Loss: 0.002805431850720197
Epoch 11, Average Loss 0.0016574331153445005
Epoch 12, Average Loss 0.0014209059315558252
Epoch 13, Average Loss 0.0012839109617686253
Epoch 14, Average Loss 0.0013380781967521503
Epoch 15, Average Loss 0.0011909018063260524
Epoch 16, Average Loss 0.001096254452816918
Epoch 17, Average Loss 0.0009916997862575631
Epoch 18, Average Loss 0.0009738311893232992
Epoch 19, Average Loss 0.0008355555985906881
Epoch 20, Average Loss 0.0007674944138705518
Test Loss: 0.0011042868587537668
Epoch 21, Average Loss 0.0007756074809998309
Epoch 22, Average Loss 0.0009634237284433168
Epoch 23, Average Loss 0.0007325771245943335
Epoch 24, Average Loss 0.0007136067342108169
Epoch 25, Average Loss 0.0007932657361011422
Epoch 26, Average Loss 0.000684374016358722
Epoch 27, Average Loss 0.000685847184585431
Epoch 28, Average Loss 0.000654616635604069
Epoch 29, Average Loss 0.0006089530696827532
Epoch 30, Average Loss 0.0006408060525003909
Test Loss: 0.0007946317935420665
Epoch 31, Average Loss 0.0005924396411063742
Epoch 32, Average Loss 0.000622309650046916
Epoch 33, Average Loss 0.0005035045710716491
Epoch 34, Average Loss 0.0005875807818702476
Epoch 35, Average Loss 0.0004512758852244956
Epoch 36, Average Loss 0.0005546457541986226
Epoch 37, Average Loss 0.0005910478249933465
Epoch 38, Average Loss 0.0005810359364003016
Epoch 39, Average Loss 0.0005461101524435688
Epoch 40, Average Loss 0.0007942669989564751
Test Loss: 0.0008663645843626
Epoch 41, Average Loss 0.0007895971333410567
Epoch 42, Average Loss 0.0005624642076039476
Epoch 43, Average Loss 0.0005451296646346168
Epoch 44, Average Loss 0.0005888413557564675
Epoch 45, Average Loss 0.0004576744175647957
Epoch 46, Average Loss 0.0003438686871959362
Epoch 47, Average Loss 0.0007474643854625874
Epoch 48, Average Loss 0.0005770396693853538
Epoch 49, Average Loss 0.0005456342580054056
Epoch 50, Average Loss 0.00038708407493364186
Test Loss: 0.00036443411336222197
Epoch 51, Average Loss 0.0005408101224711111
Epoch 52, Average Loss 0.0004173047443226649
Epoch 53, Average Loss 0.0006801825722412772
Epoch 54, Average Loss 0.0003008207728916078
Epoch 55, Average Loss 0.00037046981586034327
Epoch 56, Average Loss 0.00035682830165097596
Epoch 57, Average Loss 0.00033994111247379863
Epoch 58, Average Loss 0.0006353307165261844
Epoch 59, Average Loss 0.00040675069359639553
Epoch 60, Average Loss 0.0005416766862254008
Test Loss: 0.00024123605890054024
Epoch 61, Average Loss 0.0003241490428737524
Epoch 62, Average Loss 0.0003186883634642279
Epoch 63, Average Loss 0.0003353732677342008
Epoch 64, Average Loss 0.0003092896058890951
Epoch 65, Average Loss 0.0006331834163667068
Epoch 66, Average Loss 0.0003328553057950627
Epoch 67, Average Loss 0.0005249171962866138
Epoch 68, Average Loss 0.00046875784988238776
Epoch 69, Average Loss 0.00028128993727489306
Epoch 70, Average Loss 0.00046927945771165446
Test Loss: 0.0008071564254350961
Epoch 71, Average Loss 0.0010214061736014282
Epoch 72, Average Loss 0.00036129872778819616
Epoch 73, Average Loss 0.00046306988205967024
Epoch 74, Average Loss 0.0003119179941792556
Epoch 75, Average Loss 0.00027970896000993037
Epoch 76, Average Loss 0.0007563952443358832
Epoch 77, Average Loss 0.00019878465863706578
Epoch 78, Average Loss 0.00019149217015079626
Epoch 79, Average Loss 0.00023107742964396182
Epoch 80, Average Loss 0.0002926000417194044
Test Loss: 0.00014235810212994692
Epoch 81, Average Loss 0.00019114556228406757
Epoch 82, Average Loss 0.00012640163414387275
Epoch 83, Average Loss 0.00027698812339656774
Epoch 84, Average Loss 0.00044876803482871256
Epoch 85, Average Loss 0.00015843972844725647
