Epoch 0, Average Loss 97.98406301376328
Test Loss: 0.13438291958300397
Epoch 1, Average Loss 0.22021385609567212
Epoch 2, Average Loss 0.034945151224862074
Epoch 3, Average Loss 0.017575167843783157
Epoch 4, Average Loss 0.02398440995529188
Epoch 5, Average Loss 0.14035111472977302
Epoch 6, Average Loss 0.08249910639103832
Epoch 7, Average Loss 0.040547904664579824
Epoch 8, Average Loss 0.016381519095076225
Epoch 9, Average Loss 0.0060166769430389086
Epoch 10, Average Loss 0.004419542625627504
Test Loss: 0.0044197512324899435
Epoch 11, Average Loss 0.006567096840177628
Epoch 12, Average Loss 0.005533911354833907
Epoch 13, Average Loss 0.0028525213397821245
Epoch 14, Average Loss 0.004448099592623236
Epoch 15, Average Loss 0.0030081860505227188
Epoch 16, Average Loss 0.004408780871477874
Epoch 17, Average Loss 0.0038605671482089955
Epoch 18, Average Loss 0.008295777194125319
Epoch 19, Average Loss 0.0020993517454244975
Epoch 20, Average Loss 0.00430325327715188
Test Loss: 0.0016013213869882747
Epoch 21, Average Loss 0.002484984959043191
Epoch 22, Average Loss 0.0019076241167775014
Epoch 23, Average Loss 0.001953134871632468
Epoch 24, Average Loss 0.004975794723071011
Epoch 25, Average Loss 0.008842527672215187
Epoch 26, Average Loss 0.0030964505890033597
Epoch 27, Average Loss 0.002075134311516068
Epoch 28, Average Loss 0.0037278906111399158
Epoch 29, Average Loss 0.005417460228756359
Epoch 30, Average Loss 0.031580379135782176
Test Loss: 0.008683671295875684
Epoch 31, Average Loss 0.008044373326016815
Epoch 32, Average Loss 0.007572153555446664
Epoch 33, Average Loss 0.0022981438520172895
Epoch 34, Average Loss 0.0029098639074330588
Epoch 35, Average Loss 0.018380000731794317
Epoch 36, Average Loss 0.0016733036136429291
Epoch 37, Average Loss 0.001072541707603532
Epoch 38, Average Loss 0.0009678305141278543
Epoch 39, Average Loss 0.0011212303004959963
Epoch 40, Average Loss 0.0009361417531503712
Test Loss: 0.0011034442533855327
Epoch 41, Average Loss 0.0007243565370935116
Epoch 42, Average Loss 0.0006727586938101427
Epoch 43, Average Loss 0.0022696221501145018
Epoch 44, Average Loss 0.043522474881706616
Epoch 45, Average Loss 0.005383215806685695
Epoch 46, Average Loss 0.004102405719440636
Epoch 47, Average Loss 0.010609846798661813
Epoch 48, Average Loss 0.001407056832479761
Epoch 49, Average Loss 0.005020090347138245
Epoch 50, Average Loss 0.001285474669087687
Test Loss: 0.0006143602335214382
Epoch 51, Average Loss 0.0022830532110605464
Epoch 52, Average Loss 0.0007779988601341065
Epoch 53, Average Loss 0.00028601065465017766
Epoch 54, Average Loss 0.00016254195479977848
Epoch 55, Average Loss 0.00019385844922298123
Epoch 56, Average Loss 0.0002455327815403484
Epoch 57, Average Loss 0.0001564334838458538
Epoch 58, Average Loss 0.0003545752561197482
Epoch 59, Average Loss 0.002186204153203326
Epoch 60, Average Loss 0.0012371777095469515
Test Loss: 0.0008915914309909567
Epoch 61, Average Loss 0.0004074522616456652
Epoch 62, Average Loss 0.00012003613913673436
Epoch 63, Average Loss 0.00014314449695523797
Epoch 64, Average Loss 0.0014453605885874027
Epoch 65, Average Loss 0.0004973726182712037
Epoch 66, Average Loss 0.0007519770170986278
Epoch 67, Average Loss 0.0002034615729400362
Epoch 68, Average Loss 0.000511298152744104
Epoch 69, Average Loss 0.00018736445429256697
Epoch 70, Average Loss 0.00047091568880020955
Test Loss: 0.0005559769095270894
Epoch 71, Average Loss 0.0005112699135322687
Epoch 72, Average Loss 0.0003712261171395893
Epoch 73, Average Loss 0.0004879784239993926
Epoch 74, Average Loss 0.0002371133776860812
Epoch 75, Average Loss 0.0004914751267060176
Epoch 76, Average Loss 0.00019491249745845414
Epoch 77, Average Loss 0.0005806037970729978
Epoch 78, Average Loss 0.0004616890345506029
Epoch 79, Average Loss 3.414112789290742e-05
Epoch 80, Average Loss 4.552029081697249e-05
Test Loss: 1.6931054392443912e-05
Epoch 81, Average Loss 6.858310027808651e-05
Epoch 82, Average Loss 0.004823572887899796
Epoch 83, Average Loss 0.0010124170726100337
Epoch 84, Average Loss 0.0013201041412362947
Epoch 85, Average Loss 0.0006112250913374046
Epoch 86, Average Loss 0.0007560102898815221
Epoch 87, Average Loss 0.00016356855139977746
Epoch 88, Average Loss 7.854083131964148e-05
Epoch 89, Average Loss 3.239409778104023e-05
Epoch 90, Average Loss 3.189063475422734e-05
Test Loss: 7.288019442057703e-05
Epoch 91, Average Loss 3.511338539576886e-05
Epoch 92, Average Loss 1.779676100323752e-05
Epoch 93, Average Loss 3.301282263784074e-05
Epoch 94, Average Loss 4.8021412794696516e-05
Epoch 95, Average Loss 4.48592216925354e-05
Epoch 96, Average Loss 1.8117259070164392e-05
Epoch 97, Average Loss 1.4015198537810094e-05
Epoch 98, Average Loss 4.402719597220323e-05
Epoch 99, Average Loss 2.6329810802502535e-05
Epoch 100, Average Loss 4.998838162291692e-05
Test Loss: 4.56250199022179e-05
Epoch 101, Average Loss 0.0006071252874340943
Epoch 102, Average Loss 0.000277649575208889
Epoch 103, Average Loss 0.00041544562288977374
Epoch 104, Average Loss 0.001192782451710892
Epoch 105, Average Loss 0.0521269123612139
Epoch 106, Average Loss 1.3276330680634252e-05
Epoch 107, Average Loss 5.8244058321497965e-09
Epoch 108, Average Loss 5.871421492458144e-13
Epoch 109, Average Loss 6.140048665311e-14
Epoch 110, Average Loss 0.0
Test Loss: 0.0
Epoch 111, Average Loss 0.0
Epoch 112, Average Loss 0.0
Epoch 113, Average Loss 0.0
Epoch 114, Average Loss 0.0
Epoch 115, Average Loss 0.0
Epoch 116, Average Loss 0.0
Epoch 117, Average Loss 0.0
Epoch 118, Average Loss 0.0
Epoch 119, Average Loss 0.0
Epoch 120, Average Loss 0.0
Test Loss: 0.0
Epoch 121, Average Loss 0.0
Epoch 122, Average Loss 0.0
Epoch 123, Average Loss 0.0
Epoch 124, Average Loss 0.0
Epoch 125, Average Loss 0.0
Epoch 126, Average Loss 0.0
Epoch 127, Average Loss 0.0
Epoch 128, Average Loss 0.0
Epoch 129, Average Loss 0.0
Epoch 130, Average Loss 0.0
Test Loss: 0.0
Epoch 131, Average Loss 0.0
Epoch 132, Average Loss 0.0
Epoch 133, Average Loss 0.0
Epoch 134, Average Loss 0.0
Epoch 135, Average Loss 0.0
Epoch 136, Average Loss 0.0
Epoch 137, Average Loss 0.0
Epoch 138, Average Loss 0.0
Epoch 139, Average Loss 0.0
Epoch 140, Average Loss 0.0
Test Loss: 0.0
Epoch 141, Average Loss 0.0
Epoch 142, Average Loss 0.0
Epoch 143, Average Loss 0.0
Epoch 144, Average Loss 0.0
