Epoch 0, Average Loss 155.59485500951922
Test Loss: 6.362228121422231
Epoch 1, Average Loss 0.6239113973393223
Epoch 2, Average Loss 1.3099291720869657
Epoch 3, Average Loss 1.0400793612286259
Epoch 4, Average Loss 0.1916600413305211
Epoch 5, Average Loss 0.28476735382396845
Epoch 6, Average Loss 0.061010770655909104
Epoch 7, Average Loss 0.02132499939909417
Epoch 8, Average Loss 0.03414702219181234
Epoch 9, Average Loss 0.12445571181685605
Epoch 10, Average Loss 0.06354345124556765
Test Loss: 0.08022478941129521
Epoch 11, Average Loss 0.012555638809328829
Epoch 12, Average Loss 0.014560921895730345
Epoch 13, Average Loss 0.012709796575028479
Epoch 14, Average Loss 0.033790317705914945
Epoch 15, Average Loss 0.366082052706116
Epoch 16, Average Loss 0.5127169404958398
Epoch 17, Average Loss 0.06854997884815181
Epoch 18, Average Loss 0.21932305180676917
Epoch 19, Average Loss 0.07893426189364135
Epoch 20, Average Loss 0.03563693625103871
Test Loss: 0.006918117676650582
Epoch 21, Average Loss 0.006202221481739971
Epoch 22, Average Loss 0.024289143756009886
Epoch 23, Average Loss 0.004212044345819512
Epoch 24, Average Loss 0.0037300029893507416
Epoch 25, Average Loss 0.005997050686415559
Epoch 26, Average Loss 0.04878878139719792
Epoch 27, Average Loss 0.006758601158679407
Epoch 28, Average Loss 0.023337383847204744
Epoch 29, Average Loss 0.07205946356711299
Epoch 30, Average Loss 0.045870636674742025
Test Loss: 0.0027912572099012324
Epoch 31, Average Loss 0.0015436089719215384
Epoch 32, Average Loss 0.0012021213468743335
Epoch 33, Average Loss 0.001009984667574297
Epoch 34, Average Loss 0.0008603425809683991
Epoch 35, Average Loss 0.0007585764874938486
Epoch 36, Average Loss 0.0006504912315547331
Epoch 37, Average Loss 0.000604335092628136
Epoch 38, Average Loss 0.0005298597142991869
Epoch 39, Average Loss 0.00047316258003982374
Epoch 40, Average Loss 0.00044419380677176886
Test Loss: 0.0016178426827536895
Epoch 41, Average Loss 0.0004139825718475895
Epoch 42, Average Loss 0.0003624460300728325
Epoch 43, Average Loss 0.0003382251537384692
Epoch 44, Average Loss 0.00032887307497730944
Epoch 45, Average Loss 0.0002923550674046354
Epoch 46, Average Loss 0.0002863981654293558
Epoch 47, Average Loss 0.0002645893326626731
Epoch 48, Average Loss 0.00025785272113284055
Epoch 49, Average Loss 0.00024715365555183077
Epoch 50, Average Loss 0.0002258203892526143
Test Loss: 0.0014825984763774613
Epoch 51, Average Loss 0.00020914366601412245
Epoch 52, Average Loss 0.00021331459948335498
Epoch 53, Average Loss 0.0001995684963247508
Epoch 54, Average Loss 0.00017319067357468294
Epoch 55, Average Loss 0.00017529886622181533
Epoch 56, Average Loss 0.00016577868032821049
Epoch 57, Average Loss 0.00015494401409514352
Epoch 58, Average Loss 0.00013802301929922867
Epoch 59, Average Loss 0.00013453861665075698
Epoch 60, Average Loss 0.00013436379714232914
Test Loss: 0.0014111369782767724
Epoch 61, Average Loss 0.00012271607835217868
Epoch 62, Average Loss 0.00012282842176261245
Epoch 63, Average Loss 0.0001215330561811968
Epoch 64, Average Loss 0.00013302513823735445
Epoch 65, Average Loss 9.5114677974437e-05
Epoch 66, Average Loss 9.881896127083138e-05
Epoch 67, Average Loss 9.795333543583115e-05
Epoch 68, Average Loss 8.556088309715167e-05
Epoch 69, Average Loss 8.108943630252759e-05
Epoch 70, Average Loss 7.8193103087835e-05
Test Loss: 0.0014167042202871017
Epoch 71, Average Loss 8.521735281083008e-05
Epoch 72, Average Loss 8.485250978543562e-05
Epoch 73, Average Loss 7.584823118387376e-05
Epoch 74, Average Loss 6.628720887742412e-05
Epoch 75, Average Loss 7.474028480149323e-05
Epoch 76, Average Loss 6.813247739645001e-05
Epoch 77, Average Loss 5.5835974167109e-05
Epoch 78, Average Loss 6.150750971732745e-05
Epoch 79, Average Loss 6.805756742945545e-05
Epoch 80, Average Loss 6.515048591862506e-05
Test Loss: 0.0014130405449577666
Epoch 81, Average Loss 5.204273583319575e-05
Epoch 82, Average Loss 4.793633307956411e-05
Epoch 83, Average Loss 4.6892203401880636e-05
Epoch 84, Average Loss 4.1182850834588805e-05
Epoch 85, Average Loss 4.6431712266721775e-05
Epoch 86, Average Loss 5.930529422746272e-05
Epoch 87, Average Loss 5.614176191706571e-05
Epoch 88, Average Loss 4.257840824905117e-05
Epoch 89, Average Loss 4.3122368503668726e-05
Epoch 90, Average Loss 3.227059334627668e-05
Test Loss: 0.0013435092030249507
Epoch 91, Average Loss 3.701352497495164e-05
Epoch 92, Average Loss 5.045269784239258e-05
Epoch 93, Average Loss 4.301613620831447e-05
Epoch 94, Average Loss 3.990402964967571e-05
Epoch 95, Average Loss 4.2346548893932135e-05
Epoch 96, Average Loss 3.025609659076347e-05
Epoch 97, Average Loss 2.6072787064446017e-05
Epoch 98, Average Loss 3.346132057864636e-05
Epoch 99, Average Loss 3.3898539943291764e-05
Epoch 100, Average Loss 3.781925212496378e-05
Test Loss: 0.0013343345211978886
Epoch 101, Average Loss 3.5427628439147385e-05
Epoch 102, Average Loss 4.688887714806536e-05
Epoch 103, Average Loss 4.353382885284778e-05
Epoch 104, Average Loss 3.628963438845685e-05
Epoch 105, Average Loss 3.0382909587727605e-05
Epoch 106, Average Loss 2.5010702152433658e-05
Epoch 107, Average Loss 3.390782384646823e-05
Epoch 108, Average Loss 3.781592061133341e-05
Epoch 109, Average Loss 2.2992994387740382e-05
Epoch 110, Average Loss 3.499882592810145e-05
Test Loss: 0.0013476299318426754
Epoch 111, Average Loss 2.385739461387166e-05
Epoch 112, Average Loss 2.302044557134512e-05
Epoch 113, Average Loss 2.6327300499268617e-05
Epoch 114, Average Loss 4.230316398195411e-05
Epoch 115, Average Loss 2.8367791018457795e-05
Epoch 116, Average Loss 4.315559293658386e-05
Epoch 117, Average Loss 3.253407126383628e-05
Epoch 118, Average Loss 3.7130700999874025e-05
Epoch 119, Average Loss 4.672390701538852e-05
Epoch 120, Average Loss 3.663567726038355e-05
Test Loss: 0.0013743062322760125
Epoch 121, Average Loss 4.054140395113146e-05
Epoch 122, Average Loss 5.704906101804042e-05
Epoch 123, Average Loss 4.0265516679914695e-05
Epoch 124, Average Loss 4.8823998141311747e-05
Epoch 125, Average Loss 7.417793547206145e-05
Epoch 126, Average Loss 0.00018025332817931576
Epoch 127, Average Loss 0.00016832956064522306
Epoch 128, Average Loss 0.00010677350990912992
Epoch 129, Average Loss 0.00014717161683378596
Epoch 130, Average Loss 5.0673090275359996e-05
Test Loss: 0.001404302412265679
Epoch 131, Average Loss 3.614742959892087e-05
Epoch 132, Average Loss 9.516755931490249e-05
Epoch 133, Average Loss 0.00020315461528920008
Epoch 134, Average Loss 0.00044750901043364967
Epoch 135, Average Loss 9.768605152111135e-05
Epoch 136, Average Loss 3.652120522940693e-05
Epoch 137, Average Loss 2.9821286850303203e-05
Epoch 138, Average Loss 2.0888112630870373e-05
Epoch 139, Average Loss 1.888242419123413e-05
Epoch 140, Average Loss 2.7036848421952918e-05
Test Loss: 0.0013821857338371045
Epoch 141, Average Loss 7.522203151570983e-05
Epoch 142, Average Loss 8.339084934625964e-05
Epoch 143, Average Loss 2.407838020359767e-05
Epoch 144, Average Loss 2.8340912206347846e-05
Epoch 145, Average Loss 6.313289366551521e-05
Epoch 146, Average Loss 0.00013885091652522118
Epoch 147, Average Loss 5.795772370197195e-05
Epoch 148, Average Loss 4.032557774424484e-05
Epoch 149, Average Loss 2.4110754170463602e-05
Epoch 150, Average Loss 2.8814484317426603e-05
Test Loss: 0.0013035215906029407
Epoch 151, Average Loss 2.01451179534644e-05
Epoch 152, Average Loss 1.4235204431212037e-05
Epoch 153, Average Loss 2.6810311614030114e-05
Epoch 154, Average Loss 1.6058545460383137e-05
Epoch 155, Average Loss 3.852863254160529e-05
Epoch 156, Average Loss 0.00010910079607969283
Epoch 157, Average Loss 0.0001958855024155772
Epoch 158, Average Loss 1.642643872342093e-05
Epoch 159, Average Loss 5.394060741608986e-06
Epoch 160, Average Loss 1.442022932410423e-05
Test Loss: 0.0013878459941679467
Epoch 161, Average Loss 2.757671086328628e-05
Epoch 162, Average Loss 8.035713200716956e-06
Epoch 163, Average Loss 2.036157151993865e-05
Epoch 164, Average Loss 1.0568080304443655e-05
Epoch 165, Average Loss 9.25518558408874e-06
Epoch 166, Average Loss 5.225986493081719e-06
Epoch 167, Average Loss 3.824780018597906e-06
Epoch 168, Average Loss 9.380443482364516e-06
Epoch 169, Average Loss 9.13285401649566e-06
Epoch 170, Average Loss 3.898454150034807e-06
Test Loss: 0.001363256100455601
Epoch 171, Average Loss 4.355967459949895e-05
Epoch 172, Average Loss 9.035988143693165e-06
Epoch 173, Average Loss 6.242991236949949e-06
Epoch 174, Average Loss 2.322793421616483e-06
Epoch 175, Average Loss 3.4171978117605757e-06
Epoch 176, Average Loss 4.122366181755878e-05
Epoch 177, Average Loss 9.612848156008067e-06
Epoch 178, Average Loss 1.0855355315289337e-05
Epoch 179, Average Loss 3.121881047286767e-05
Epoch 180, Average Loss 7.251758916386798e-06
Test Loss: 0.0014507243541856951
Epoch 181, Average Loss 1.2075721076005092e-05
Epoch 182, Average Loss 1.624301995625904e-05
Epoch 183, Average Loss 8.899271261377261e-06
Epoch 184, Average Loss 1.750162514154114e-06
Epoch 185, Average Loss 5.967960563811164e-06
Epoch 186, Average Loss 4.235119036720818e-06
Epoch 187, Average Loss 7.770091042816516e-07
Epoch 188, Average Loss 2.3615329200441907e-06
Epoch 189, Average Loss 5.188963168343809e-07
Epoch 190, Average Loss 7.529592775552063e-07
Test Loss: 0.0013804690116444363
Epoch 191, Average Loss 9.943670144590615e-06
Epoch 192, Average Loss 2.2212529087701575e-05
Epoch 193, Average Loss 1.5833808523767183e-05
Epoch 194, Average Loss 2.00990668073106e-05
Epoch 195, Average Loss 5.029574120853104e-06
Epoch 196, Average Loss 3.107680127973714e-06
Epoch 197, Average Loss 4.898706464608347e-07
Epoch 198, Average Loss 4.778652652653377e-07
Epoch 199, Average Loss 4.1137820888729516e-07
Epoch 200, Average Loss 3.992420315471377e-07
Test Loss: 0.0013113129984397176
Epoch 201, Average Loss 2.71154906505696e-07
Epoch 202, Average Loss 2.643249431541308e-07
Epoch 203, Average Loss 5.972677166345862e-07
Epoch 204, Average Loss 3.3396788663937136e-07
Epoch 205, Average Loss 2.250925462651364e-06
Epoch 206, Average Loss 0.00826731373023783
Epoch 207, Average Loss 6.316121000793373e-05
Epoch 208, Average Loss 1.1345429909696433e-08
Epoch 209, Average Loss 9.380445240234386e-10
Epoch 210, Average Loss 3.344406600506841e-10
Test Loss: 0.03885980389255083
Epoch 211, Average Loss 2.9831730397521855e-10
Epoch 212, Average Loss 2.423235868953052e-09
Epoch 213, Average Loss 2.0496005118089354e-10
Epoch 214, Average Loss 9.425441108750231e-10
Epoch 215, Average Loss 2.732231512063755e-11
Epoch 216, Average Loss 3.046599332582903e-10
Epoch 217, Average Loss 1.3616662245054204e-09
Epoch 218, Average Loss 1.7458082513036923e-09
Epoch 219, Average Loss 2.4687452131803897e-09
Epoch 220, Average Loss 1.6129824755869888e-09
Test Loss: 0.038860137389941096
Epoch 221, Average Loss 1.8194541641598167e-09
Epoch 222, Average Loss 2.4246654242558607e-09
Epoch 223, Average Loss 9.354772992964212e-10
