Epoch 0, Average Loss 200.50144981791536
Test Loss: 0.10733599206432701
Epoch 1, Average Loss 0.03950108532186692
Epoch 2, Average Loss 0.027025541123385906
Epoch 3, Average Loss 0.021200242041922588
Epoch 4, Average Loss 0.022377123554455283
Epoch 5, Average Loss 0.0186664894428782
Epoch 6, Average Loss 0.016502632895083743
Epoch 7, Average Loss 0.011162927664913638
Epoch 8, Average Loss 0.008763231564743467
Epoch 9, Average Loss 0.00799978161588034
Epoch 10, Average Loss 0.006682274888543695
Test Loss: 0.008859231570386327
Epoch 11, Average Loss 0.004188926278206791
Epoch 12, Average Loss 0.003064862422606778
Epoch 13, Average Loss 0.0032512446380252775
Epoch 14, Average Loss 0.0025170436182392385
Epoch 15, Average Loss 0.0023310177014916663
Epoch 16, Average Loss 0.0023626436083724936
Epoch 17, Average Loss 0.0022287974926153836
Epoch 18, Average Loss 0.001546168943374901
Epoch 19, Average Loss 0.002337538610511648
Epoch 20, Average Loss 0.002785396509467848
Test Loss: 0.0017291943295276724
Epoch 21, Average Loss 0.0011933315689918655
Epoch 22, Average Loss 0.0010583027491796926
Epoch 23, Average Loss 0.0017352187862366296
Epoch 24, Average Loss 0.0027293263797506786
Epoch 25, Average Loss 0.0019612226020122945
Epoch 26, Average Loss 0.0020066233764622137
Epoch 27, Average Loss 0.001991991739303074
Epoch 28, Average Loss 0.0033180222078355447
Epoch 29, Average Loss 0.0018392286049364183
Epoch 30, Average Loss 0.0008919285927432507
Test Loss: 0.0009437027059902902
Epoch 31, Average Loss 0.0011819085823303853
Epoch 32, Average Loss 0.008366910621831106
Epoch 33, Average Loss 0.007993649628346408
Epoch 34, Average Loss 0.0010907461566856437
Epoch 35, Average Loss 0.002636097914166638
Epoch 36, Average Loss 0.00346684492361891
Epoch 37, Average Loss 0.007216624284709827
Epoch 38, Average Loss 0.002012488396125079
Epoch 39, Average Loss 0.0010224568062237923
Epoch 40, Average Loss 0.0008181308858183911
Test Loss: 0.0013458175104460678
Epoch 41, Average Loss 0.0008190823216035467
Epoch 42, Average Loss 0.0011470582650895554
Epoch 43, Average Loss 0.001018296252621877
Epoch 44, Average Loss 0.0012650974308541399
Epoch 45, Average Loss 0.036593105621607176
Epoch 46, Average Loss 0.14938673435180239
Epoch 47, Average Loss 0.0034768119242736375
Epoch 48, Average Loss 0.0015102834132230322
Epoch 49, Average Loss 0.0012742403997447272
Epoch 50, Average Loss 0.0008813189782398971
Test Loss: 0.0006837760727648856
Epoch 51, Average Loss 0.0008774822746562665
Epoch 52, Average Loss 0.0009450103849372635
Epoch 53, Average Loss 0.00045638669738004464
Epoch 54, Average Loss 0.00037415866516979964
Epoch 55, Average Loss 0.000289041573028677
Epoch 56, Average Loss 0.0002736967964688407
Epoch 57, Average Loss 0.00021576192971281937
Epoch 58, Average Loss 0.00020261709716831757
Epoch 59, Average Loss 0.0002178046241492148
Epoch 60, Average Loss 0.00017540449086102198
Test Loss: 0.0002062851257960574
Epoch 61, Average Loss 0.00016171557028365333
Epoch 62, Average Loss 0.0001361766043606921
Epoch 63, Average Loss 0.0001382235858082949
Epoch 64, Average Loss 0.00012860133993059737
Epoch 65, Average Loss 0.0001114877916768796
Epoch 66, Average Loss 9.553018507855845e-05
Epoch 67, Average Loss 0.0001183266151311048
Epoch 68, Average Loss 9.262915378839571e-05
Epoch 69, Average Loss 8.52820476153928e-05
Epoch 70, Average Loss 8.454832126102977e-05
Test Loss: 9.478398073952121e-05
Epoch 71, Average Loss 7.14259767573246e-05
Epoch 72, Average Loss 6.823811499019985e-05
Epoch 73, Average Loss 6.252099220097378e-05
Epoch 74, Average Loss 7.046974495548816e-05
Epoch 75, Average Loss 8.45412653032764e-05
Epoch 76, Average Loss 0.002420661810855897
Epoch 77, Average Loss 0.00029984521229898403
Epoch 78, Average Loss 0.00014380544400087792
Epoch 79, Average Loss 0.00010532576932953677
Epoch 80, Average Loss 8.434682928929783e-05
Test Loss: 4.640556844606181e-05
Epoch 81, Average Loss 7.877365247116393e-05
Epoch 82, Average Loss 5.6909672971011755e-05
Epoch 83, Average Loss 4.550193136909209e-05
Epoch 84, Average Loss 4.4573169635827115e-05
Epoch 85, Average Loss 4.0725751418155793e-05
Epoch 86, Average Loss 4.0921063524491945e-05
Epoch 87, Average Loss 2.9382365749117086e-05
Epoch 88, Average Loss 2.8422132518129198e-05
Epoch 89, Average Loss 2.180134195605551e-05
Epoch 90, Average Loss 2.8337042574059546e-05
Test Loss: 2.4080818172933503e-05
Epoch 91, Average Loss 2.386073647588241e-05
Epoch 92, Average Loss 3.446171421607768e-05
Epoch 93, Average Loss 2.498365417143103e-05
Epoch 94, Average Loss 2.0421991353665547e-05
Epoch 95, Average Loss 1.4893630671976317e-05
Epoch 96, Average Loss 1.6443551385380694e-05
Epoch 97, Average Loss 2.0146450509988035e-05
Epoch 98, Average Loss 1.2859313175026785e-05
Epoch 99, Average Loss 1.4655142061782718e-05
Epoch 100, Average Loss 1.5425869402049643e-05
Test Loss: 2.2403012144422975e-05
Epoch 101, Average Loss 1.3127804253645657e-05
Epoch 102, Average Loss 1.1212103808157114e-05
Epoch 103, Average Loss 1.1458893207942264e-05
Epoch 104, Average Loss 8.650332918267839e-06
Epoch 105, Average Loss 9.546619269891565e-06
Epoch 106, Average Loss 1.023356650107474e-05
Epoch 107, Average Loss 8.408066815550114e-06
Epoch 108, Average Loss 8.819368898799969e-06
Epoch 109, Average Loss 7.791665808554171e-06
Epoch 110, Average Loss 9.558436223990351e-06
Test Loss: 1.0385858467998333e-05
Epoch 111, Average Loss 8.959971351507331e-06
Epoch 112, Average Loss 8.533067566071324e-06
Epoch 113, Average Loss 1.1365170475616214e-05
Epoch 114, Average Loss 1.1938164482288915e-05
Epoch 115, Average Loss 1.1966920951966972e-05
Epoch 116, Average Loss 2.2224143937520495e-05
Epoch 117, Average Loss 1.6992081314819637e-05
Epoch 118, Average Loss 4.223494016525963e-05
Epoch 119, Average Loss 4.132849021645966e-05
Epoch 120, Average Loss 3.9807526892632904e-05
Test Loss: 6.407944425745882e-06
Epoch 121, Average Loss 6.495742023996289e-05
Epoch 122, Average Loss 4.771165265969724e-05
Epoch 123, Average Loss 7.866302750635787e-05
Epoch 124, Average Loss 8.952455453109169e-05
Epoch 125, Average Loss 9.494395716720197e-05
Epoch 126, Average Loss 0.00010061648503082486
Epoch 127, Average Loss 0.0008004492384011025
Epoch 128, Average Loss 6.632609387368782e-05
Epoch 129, Average Loss 6.463825207064577e-06
Epoch 130, Average Loss 4.841643204769488e-06
Test Loss: 2.275283264907557e-06
Epoch 131, Average Loss 6.793691627600495e-06
Epoch 132, Average Loss 3.51739937816345e-06
Epoch 133, Average Loss 7.193284907944207e-06
Epoch 134, Average Loss 1.0762846332604165e-05
Epoch 135, Average Loss 6.955425049237489e-06
Epoch 136, Average Loss 6.511809834891313e-06
Epoch 137, Average Loss 1.1153765176229022e-05
Epoch 138, Average Loss 0.00018758015657792236
Epoch 139, Average Loss 0.0009572677451177685
Epoch 140, Average Loss 4.1031632204239826e-05
Test Loss: 2.280614617120591e-05
Epoch 141, Average Loss 9.448059865068404e-06
Epoch 142, Average Loss 9.004522280574143e-06
Epoch 143, Average Loss 6.8498592753485354e-06
Epoch 144, Average Loss 3.2309408805770233e-06
Epoch 145, Average Loss 2.422317568267559e-06
Epoch 146, Average Loss 2.167640927354966e-06
Epoch 147, Average Loss 2.060174226252906e-06
Epoch 148, Average Loss 1.7262102360859899e-06
Epoch 149, Average Loss 1.2052626507294796e-06
Epoch 150, Average Loss 1.3814983825827594e-06
Test Loss: 4.881312733573396e-07
Epoch 151, Average Loss 6.92133392759313e-07
Epoch 152, Average Loss 9.938969958493745e-07
Epoch 153, Average Loss 6.535113880144614e-07
Epoch 154, Average Loss 1.8787579457963043e-06
Epoch 155, Average Loss 2.9696369107902764e-06
Epoch 156, Average Loss 4.992174468667789e-06
Epoch 157, Average Loss 1.169976141712348e-05
Epoch 158, Average Loss 1.0441203238470631e-05
Epoch 159, Average Loss 9.611808503008653e-06
Epoch 160, Average Loss 5.3661890053336446e-05
Test Loss: 0.00013364069563976956
Epoch 161, Average Loss 1.478285572643918e-05
Epoch 162, Average Loss 5.040569303069281e-06
Epoch 163, Average Loss 3.896070080564135e-06
Epoch 164, Average Loss 1.5929306664942705e-06
Epoch 165, Average Loss 3.2283961505581944e-06
Epoch 166, Average Loss 3.0950380039341117e-06
Epoch 167, Average Loss 4.261119281176134e-06
Epoch 168, Average Loss 2.117010916363948e-06
Epoch 169, Average Loss 0.00023193604212013447
Epoch 170, Average Loss 4.161314935037255e-05
Test Loss: 5.548155287726786e-06
Epoch 171, Average Loss 4.709948382925706e-06
Epoch 172, Average Loss 2.550937064013483e-06
Epoch 173, Average Loss 1.7676882912368616e-06
Epoch 174, Average Loss 1.1460294854763377e-06
Epoch 175, Average Loss 1.046861468330894e-06
Epoch 176, Average Loss 4.91211241825511e-07
Epoch 177, Average Loss 5.12627117418805e-07
Epoch 178, Average Loss 6.266016748056729e-07
Epoch 179, Average Loss 4.5378184511268005e-07
Epoch 180, Average Loss 4.020946547761909e-07
Test Loss: 2.3729359064361688e-07
Epoch 181, Average Loss 3.668676885882356e-07
Epoch 182, Average Loss 2.9653419610666977e-07
Epoch 183, Average Loss 1.9145913236252742e-07
Epoch 184, Average Loss 2.8879765223418327e-07
Epoch 185, Average Loss 2.754569316159646e-07
Epoch 186, Average Loss 3.763595616872788e-07
Epoch 187, Average Loss 2.2903652622856879e-07
Epoch 188, Average Loss 2.2375165189575736e-07
Epoch 189, Average Loss 6.45617491619964e-07
Epoch 190, Average Loss 2.9279272148850067e-07
Test Loss: 2.183261777588541e-07
Epoch 191, Average Loss 2.0445058531672916e-07
Epoch 192, Average Loss 1.7148712991967036e-07
Epoch 193, Average Loss 1.0244063144651574e-06
Epoch 194, Average Loss 1.7799347304076274e-07
Epoch 195, Average Loss 3.230925298105002e-07
Epoch 196, Average Loss 2.6728423730282e-07
Epoch 197, Average Loss 2.5890275615094324e-07
Epoch 198, Average Loss 1.8775790602164316e-07
Epoch 199, Average Loss 4.5052141384031484e-07
Epoch 200, Average Loss 1.0135819640590004e-06
Test Loss: 5.16443056497451e-07
Epoch 201, Average Loss 9.22774384476621e-07
Epoch 202, Average Loss 8.752226550814733e-07
Epoch 203, Average Loss 4.5415112093160474e-06
Epoch 204, Average Loss 1.7978027009032211e-06
Epoch 205, Average Loss 5.815903142259726e-07
Epoch 206, Average Loss 9.485479217051067e-07
Epoch 207, Average Loss 3.864460960247165e-06
Epoch 208, Average Loss 1.5375009088103297e-06
Epoch 209, Average Loss 9.550604541705949e-07
Epoch 210, Average Loss 2.3543997531611453e-05
Test Loss: 8.739531767787412e-05
Epoch 211, Average Loss 1.2000205325907527e-05
Epoch 212, Average Loss 2.1018275045702744e-06
Epoch 213, Average Loss 2.785444823092791e-07
Epoch 214, Average Loss 1.7277386108573173e-07
Epoch 215, Average Loss 6.147438516603427e-08
Epoch 216, Average Loss 4.5787851945983186e-08
Epoch 217, Average Loss 2.8002229092456225e-08
Epoch 218, Average Loss 1.662915274151852e-08
Epoch 219, Average Loss 5.1394577561410055e-08
Epoch 220, Average Loss 2.767614578582684e-08
Test Loss: 2.898673953644071e-09
Epoch 221, Average Loss 9.278609248019872e-09
Epoch 222, Average Loss 7.113684738429682e-08
Epoch 223, Average Loss 3.947352472230653e-07
Epoch 224, Average Loss 7.569541545470027e-08
Epoch 225, Average Loss 3.350621425109397e-08
Epoch 226, Average Loss 2.4145304336792085e-08
Epoch 227, Average Loss 4.74808095808228e-08
Epoch 228, Average Loss 4.630621882950743e-08
Epoch 229, Average Loss 1.4918392969848487e-08
Epoch 230, Average Loss 8.452543190830433e-08
Test Loss: 2.634675571044909e-08
Epoch 231, Average Loss 1.8273790498231306e-07
Epoch 232, Average Loss 1.469923388859121e-07
Epoch 233, Average Loss 8.112226367444824e-08
Epoch 234, Average Loss 2.0121604267104937e-08
Epoch 235, Average Loss 4.3802868163857216e-08
Epoch 236, Average Loss 1.682710942315604e-07
Epoch 237, Average Loss 6.161291318603164e-07
Epoch 238, Average Loss 1.089653132438959e-06
Epoch 239, Average Loss 3.1096797517089437e-06
Epoch 240, Average Loss 1.121155626062782e-08
Test Loss: 3.0661703051548805e-09
Epoch 241, Average Loss 2.6624020028704842e-08
Epoch 242, Average Loss 2.146556479025382e-08
Epoch 243, Average Loss 2.3039630546925165e-08
Epoch 244, Average Loss 1.4478856421626034e-08
Epoch 245, Average Loss 4.2749630120663255e-08
Epoch 246, Average Loss 3.669962772532681e-08
Epoch 247, Average Loss 3.1142265458400166e-08
Epoch 248, Average Loss 5.460018385201969e-08
Epoch 249, Average Loss 3.808890423631815e-08
Epoch 250, Average Loss 6.751074774319285e-08
Test Loss: 1.3111621939287942e-07
Epoch 251, Average Loss 5.608449704933754e-08
Epoch 252, Average Loss 6.79382400969453e-08
Epoch 253, Average Loss 1.457457934329061e-07
Epoch 254, Average Loss 9.718344973770698e-08
Epoch 255, Average Loss 2.0370832633952157e-07
Epoch 256, Average Loss 1.5352856563562817e-07
Epoch 257, Average Loss 1.0664235272347206e-07
