Epoch 0, Average Loss 96.81698634388822
Test Loss: 4.56747368699871
Epoch 1, Average Loss 0.29321789241445995
Epoch 2, Average Loss 0.6947501306982027
Epoch 3, Average Loss 0.02170529691786122
Epoch 4, Average Loss 0.013687490936533748
Epoch 5, Average Loss 0.008921253270929373
Epoch 6, Average Loss 0.006287760519764468
Epoch 7, Average Loss 0.00525825442539976
Epoch 8, Average Loss 0.0046354907239150684
Epoch 9, Average Loss 0.003739620285194155
Epoch 10, Average Loss 0.0038317074480501913
Test Loss: 0.004481879173545167
Epoch 11, Average Loss 0.0031387173387227886
Epoch 12, Average Loss 0.0030734445339752527
Epoch 13, Average Loss 0.0026725908619597777
Epoch 14, Average Loss 0.002402625410284116
Epoch 15, Average Loss 0.0023063138262530837
Epoch 16, Average Loss 0.0018266222381314464
Epoch 17, Average Loss 0.002002692085475649
Epoch 18, Average Loss 0.0014826781400096238
Epoch 19, Average Loss 0.0014143724455365533
Epoch 20, Average Loss 0.0013860526669304818
Test Loss: 0.0011115159359178506
Epoch 21, Average Loss 0.0011655593230506947
Epoch 22, Average Loss 0.001234236828582376
Epoch 23, Average Loss 0.0010788387409798193
Epoch 24, Average Loss 0.0009869748987684829
Epoch 25, Average Loss 0.0007955123934912483
Epoch 26, Average Loss 0.0010038222880891076
Epoch 27, Average Loss 0.0007348264627603673
Epoch 28, Average Loss 0.0006537042521168714
Epoch 29, Average Loss 0.0005773165713562085
Epoch 30, Average Loss 0.0007041731215291361
Test Loss: 0.0005047154700150713
Epoch 31, Average Loss 0.0005673646005273935
Epoch 32, Average Loss 0.0005486543162112844
Epoch 33, Average Loss 0.0005749423314538737
Epoch 34, Average Loss 0.0006770373568807499
Epoch 35, Average Loss 0.00046583530488936083
Epoch 36, Average Loss 0.0004614932117011115
Epoch 37, Average Loss 0.00045409973901331784
Epoch 38, Average Loss 0.0004986974109911737
Epoch 39, Average Loss 0.00039260423957934617
Epoch 40, Average Loss 0.00035802158165580884
Test Loss: 0.0002782956565170025
Epoch 41, Average Loss 0.0004162153835048091
Epoch 42, Average Loss 0.0003225017539356302
Epoch 43, Average Loss 0.000404657029056453
Epoch 44, Average Loss 0.000326161040637872
Epoch 45, Average Loss 0.0003704144544803679
Epoch 46, Average Loss 0.00030192750873078396
Epoch 47, Average Loss 0.0003507044690149421
Epoch 48, Average Loss 0.0004877929803782697
Epoch 49, Average Loss 0.0003580817532496486
Epoch 50, Average Loss 0.0003039822157559315
Test Loss: 0.00025332573477498954
Epoch 51, Average Loss 0.0002542450916458804
Epoch 52, Average Loss 0.0002656651323849462
Epoch 53, Average Loss 0.00023080852696682398
Epoch 54, Average Loss 0.0003142228302243018
Epoch 55, Average Loss 0.00042646738222197486
Epoch 56, Average Loss 0.00022119819589568556
Epoch 57, Average Loss 0.00023364468886685717
Epoch 58, Average Loss 0.00019341180719677624
Epoch 59, Average Loss 0.0003117247842159417
Epoch 60, Average Loss 0.00030633010857100896
Test Loss: 0.0003957603265007492
Epoch 61, Average Loss 0.00016980120841552992
Epoch 62, Average Loss 0.00018745979384761938
Epoch 63, Average Loss 0.0002262732518772017
Epoch 64, Average Loss 0.00022996441851008264
Epoch 65, Average Loss 0.00021214919408659534
Epoch 66, Average Loss 0.00022598848739372569
Epoch 67, Average Loss 0.00012701950928330224
Epoch 68, Average Loss 0.0001691422045513707
Epoch 69, Average Loss 0.0003603262774487132
Epoch 70, Average Loss 0.00021887826074770935
Test Loss: 0.00017173426494991871
Epoch 71, Average Loss 0.0002718405714542222
Epoch 72, Average Loss 0.0006750219979695903
Epoch 73, Average Loss 0.001580862429352548
Epoch 74, Average Loss 0.0017295080119017453
Epoch 75, Average Loss 0.00043333240713925274
Epoch 76, Average Loss 0.00020174584953358272
Epoch 77, Average Loss 0.00012780376356561106
Epoch 78, Average Loss 0.00014030357767262126
