Epoch 0, Average Loss 109.97005741788617
Test Loss: 4.529304727911949
Epoch 1, Average Loss 0.49879907755346237
Epoch 2, Average Loss 0.17630929419110658
Epoch 3, Average Loss 0.03911253447715146
Epoch 4, Average Loss 0.01754800475547326
Epoch 5, Average Loss 0.021300546864719612
Epoch 6, Average Loss 0.012071769361095386
Epoch 7, Average Loss 0.031439151255343155
Epoch 8, Average Loss 0.023183549279818617
Epoch 9, Average Loss 0.01748668488492317
Epoch 10, Average Loss 0.009841532975839026
Test Loss: 0.008799614309100433
Epoch 11, Average Loss 0.010072801338031274
Epoch 12, Average Loss 0.030884779202442356
Epoch 13, Average Loss 0.009686726432432173
Epoch 14, Average Loss 0.022822249832907926
Epoch 15, Average Loss 0.11665114796354989
Epoch 16, Average Loss 0.01555211742664982
Epoch 17, Average Loss 0.015877640672039853
Epoch 18, Average Loss 0.012172488410974841
Epoch 19, Average Loss 0.052785424906112065
Epoch 20, Average Loss 0.03795708622415019
Test Loss: 0.16251610121689736
Epoch 21, Average Loss 0.02418999855415424
Epoch 22, Average Loss 0.004970468442571715
Epoch 23, Average Loss 0.0032346216373033585
Epoch 24, Average Loss 0.002246512058286786
Epoch 25, Average Loss 0.004035946003660925
Epoch 26, Average Loss 0.005454183258101509
Epoch 27, Average Loss 0.022997292472621354
Epoch 28, Average Loss 0.001732252011572223
Epoch 29, Average Loss 0.0018041571706299128
Epoch 30, Average Loss 0.0018794517396784186
Test Loss: 0.0006675153945252532
Epoch 31, Average Loss 0.001511418793620866
Epoch 32, Average Loss 0.0010834889159658688
Epoch 33, Average Loss 0.0008395752811799257
Epoch 34, Average Loss 0.000702609126717648
Epoch 35, Average Loss 0.0013523636697283122
Epoch 36, Average Loss 0.0013307186084061927
Epoch 37, Average Loss 0.0016643184627597133
Epoch 38, Average Loss 0.0029292950342015857
Epoch 39, Average Loss 0.0027389843123699713
Epoch 40, Average Loss 0.0008204808212592727
Test Loss: 0.0014104994465014898
Epoch 41, Average Loss 0.0012316792532215868
Epoch 42, Average Loss 0.0012649777645607702
Epoch 43, Average Loss 0.0023538861723979227
Epoch 44, Average Loss 0.0008860883152678232
Epoch 45, Average Loss 0.020435214152631845
Epoch 46, Average Loss 0.023430674338324256
Epoch 47, Average Loss 0.0037828993831968962
