Epoch 0, Average Loss 227.851059857638
Test Loss: 0.6815023208037019
Epoch 1, Average Loss 0.21208231768841984
Epoch 2, Average Loss 0.05361534388665157
Epoch 3, Average Loss 0.03216864495048936
Epoch 4, Average Loss 0.04518501530769812
Epoch 5, Average Loss 0.16474730031022541
Epoch 6, Average Loss 0.03748836628562193
Epoch 7, Average Loss 0.012804254512243632
Epoch 8, Average Loss 0.01403672698313441
Epoch 9, Average Loss 0.011970024112824947
Epoch 10, Average Loss 0.008548647081302596
Test Loss: 0.009014993558230345
Epoch 11, Average Loss 0.007626794687548912
Epoch 12, Average Loss 0.007804307379300082
Epoch 13, Average Loss 0.008103143247330703
Epoch 14, Average Loss 0.03231711126974477
Epoch 15, Average Loss 0.015654065839274305
Epoch 16, Average Loss 0.0061113419688359795
Epoch 17, Average Loss 0.00381203895813087
Epoch 18, Average Loss 0.0037160423669751873
Epoch 19, Average Loss 0.0044412086510557764
Epoch 20, Average Loss 0.0023679631849805862
Test Loss: 0.003973914679227164
Epoch 21, Average Loss 0.0034707682867646545
Epoch 22, Average Loss 0.003666982364445141
Epoch 23, Average Loss 0.004201440406591879
Epoch 24, Average Loss 0.003395890137964463
Epoch 25, Average Loss 0.0020200453736949004
Epoch 26, Average Loss 0.0051357763742216084
Epoch 27, Average Loss 0.0025791085153275472
Epoch 28, Average Loss 0.0026477475628469828
Epoch 29, Average Loss 0.0022521520972353572
Epoch 30, Average Loss 0.0017381228467974888
Test Loss: 0.0076136827483423986
Epoch 31, Average Loss 0.001408494663659831
Epoch 32, Average Loss 0.001433634632029438
Epoch 33, Average Loss 0.002075484704089578
Epoch 34, Average Loss 0.0014484049449343223
Epoch 35, Average Loss 0.0012379135302891674
Epoch 36, Average Loss 0.0016554701215233153
Epoch 37, Average Loss 0.0013802437358288997
Epoch 38, Average Loss 0.004609736034984087
Epoch 39, Average Loss 0.002843824098541702
Epoch 40, Average Loss 0.0030082180368297003
Test Loss: 0.0021140860364539547
Epoch 41, Average Loss 0.0016718970381923181
Epoch 42, Average Loss 0.0011016220715312475
Epoch 43, Average Loss 0.0007784190907910624
Epoch 44, Average Loss 0.0025196249888365485
Epoch 45, Average Loss 0.0024330622339370674
Epoch 46, Average Loss 0.001858891877625727
Epoch 47, Average Loss 0.011054870223555946
Epoch 48, Average Loss 0.0037261144544181316
Epoch 49, Average Loss 0.0013115309618886477
Epoch 50, Average Loss 0.0013039963249164292
Test Loss: 0.0025504263234324754
Epoch 51, Average Loss 0.0007695671477253936
Epoch 52, Average Loss 0.0014592877812072956
Epoch 53, Average Loss 0.0009070883548425811
Epoch 54, Average Loss 0.0011676307400147713
Epoch 55, Average Loss 0.0012426439997731986
Epoch 56, Average Loss 0.0012348549842246502
Epoch 57, Average Loss 0.0017253626063830792
Epoch 58, Average Loss 0.0009185060934893804
Epoch 59, Average Loss 0.0013280989876392009
Epoch 60, Average Loss 0.001048174033689687
Test Loss: 0.0011549997951078694
Epoch 61, Average Loss 0.004160582125142712
Epoch 62, Average Loss 0.006297875501884477
Epoch 63, Average Loss 0.0009376978866580603
Epoch 64, Average Loss 0.0015493441803496526
Epoch 65, Average Loss 0.0009177584321104739
Epoch 66, Average Loss 0.003480461659923025
Epoch 67, Average Loss 0.0020077911468215
Epoch 68, Average Loss 0.000577734395870099
Epoch 69, Average Loss 0.0008127378593909973
Epoch 70, Average Loss 0.0008062595510567963
Test Loss: 0.002351060981163755
Epoch 71, Average Loss 0.0007474126250599511
Epoch 72, Average Loss 0.001377498287586639
Epoch 73, Average Loss 0.0005668896878369542
Epoch 74, Average Loss 0.0019839327639912673
Epoch 75, Average Loss 0.0031007807361974403
Epoch 76, Average Loss 0.001226243598547269
Epoch 77, Average Loss 0.0010659822501917075
Epoch 78, Average Loss 0.000400110005091248
Epoch 79, Average Loss 0.0010392926350608763
Epoch 80, Average Loss 0.0003057485802072952
Test Loss: 0.00031776542673469523
Epoch 81, Average Loss 0.0004154036398314837
Epoch 82, Average Loss 0.0003920351559654706
Epoch 83, Average Loss 0.00024286550678247112
Epoch 84, Average Loss 0.00018914376270706408
Epoch 85, Average Loss 0.00032807640323144255
Epoch 86, Average Loss 0.0009860929551191648
Epoch 87, Average Loss 0.0005986668264062867
Epoch 88, Average Loss 0.0005248419315476101
Epoch 89, Average Loss 0.0004671058549423764
Epoch 90, Average Loss 0.001495446547755531
Test Loss: 3.738490993328014e-05
Epoch 91, Average Loss 0.00015849745812121472
Epoch 92, Average Loss 0.00021986812206233492
Epoch 93, Average Loss 0.00014082411976405523
Epoch 94, Average Loss 0.00011141940422597065
Epoch 95, Average Loss 0.0008685757642225222
Epoch 96, Average Loss 0.0024415904601390805
Epoch 97, Average Loss 0.00039210380649060025
Epoch 98, Average Loss 0.000703857085653321
Epoch 99, Average Loss 6.174118326973396e-05
Epoch 100, Average Loss 0.0001916326830297881
Test Loss: 7.535699969594135e-05
Epoch 101, Average Loss 0.00010175321669314283
Epoch 102, Average Loss 4.845765291272845e-05
Epoch 103, Average Loss 3.617496588359947e-05
Epoch 104, Average Loss 0.0001421017460851936
Epoch 105, Average Loss 0.004057526776947109
Epoch 106, Average Loss 0.0006343657284871162
Epoch 107, Average Loss 0.00012734924945982152
Epoch 108, Average Loss 7.461034295639492e-05
Epoch 109, Average Loss 7.856844980709912e-05
Epoch 110, Average Loss 2.9506030045203133e-05
Test Loss: 2.968823182527558e-05
Epoch 111, Average Loss 1.962437416503097e-05
Epoch 112, Average Loss 1.264291142492651e-05
Epoch 113, Average Loss 1.3975448856727561e-05
Epoch 114, Average Loss 1.0535300253949675e-05
Epoch 115, Average Loss 8.381760803599085e-06
Epoch 116, Average Loss 1.816622591143532e-05
Epoch 117, Average Loss 4.2973145083078055e-05
Epoch 118, Average Loss 4.3925677861312306e-05
Epoch 119, Average Loss 1.3457261783100243e-05
Epoch 120, Average Loss 5.351000607023005e-06
Test Loss: 3.3051279956453073e-06
Epoch 121, Average Loss 7.850825490871684e-06
Epoch 122, Average Loss 4.898040150594538e-06
Epoch 123, Average Loss 5.872919806549788e-06
Epoch 124, Average Loss 4.964372896113132e-06
Epoch 125, Average Loss 8.676940484645865e-06
Epoch 126, Average Loss 0.0001129570322392064
Epoch 127, Average Loss 9.75737464641555e-05
Epoch 128, Average Loss 4.1342734317379525e-05
Epoch 129, Average Loss 5.0208276770948185e-05
Epoch 130, Average Loss 5.978535650136777e-06
Test Loss: 2.8276357625145464e-06
Epoch 131, Average Loss 1.4386177453380248e-05
Epoch 132, Average Loss 2.672340554935073e-05
Epoch 133, Average Loss 1.9141785670295646e-05
Epoch 134, Average Loss 1.3320897274936698e-05
Epoch 135, Average Loss 1.6970987427406484e-05
Epoch 136, Average Loss 5.074868217774035e-05
Epoch 137, Average Loss 5.78759936874858e-05
Epoch 138, Average Loss 7.058683912031098e-06
Epoch 139, Average Loss 2.2246975456969095e-05
Epoch 140, Average Loss 6.596845464858384e-05
Test Loss: 5.475472516991431e-05
Epoch 141, Average Loss 2.1847225642126937e-05
Epoch 142, Average Loss 0.0002947690638675455
Epoch 143, Average Loss 0.00013365358055971574
Epoch 144, Average Loss 7.561290235398817e-05
Epoch 145, Average Loss 0.00014285470321646
Epoch 146, Average Loss 2.7057034464022868e-05
Epoch 147, Average Loss 5.700891687744923e-06
Epoch 148, Average Loss 8.49315305634298e-06
Epoch 149, Average Loss 3.886887580542458e-05
Epoch 150, Average Loss 4.352636073857451e-05
Test Loss: 7.150871897465549e-06
Epoch 151, Average Loss 9.078988602618952e-05
Epoch 152, Average Loss 7.353444311199462e-05
Epoch 153, Average Loss 2.0050232686406017e-06
Epoch 154, Average Loss 5.764595147079524e-08
Epoch 155, Average Loss 1.2363157782773952e-08
Epoch 156, Average Loss 6.111451726367909e-09
Epoch 157, Average Loss 3.777641055190814e-09
Epoch 158, Average Loss 2.8447800363615406e-09
Epoch 159, Average Loss 2.2075561170292113e-09
Epoch 160, Average Loss 1.6676657686643821e-09
Test Loss: 3.044085477549741e-07
Epoch 161, Average Loss 1.2655456684584968e-09
Epoch 162, Average Loss 1.4614078955580728e-09
Epoch 163, Average Loss 9.879314687217122e-10
Epoch 164, Average Loss 1.4904818973622927e-09
Epoch 165, Average Loss 6.138210841729215e-10
Epoch 166, Average Loss 4.922734595408883e-10
Epoch 167, Average Loss 4.839999945965845e-10
Epoch 168, Average Loss 5.075976330319991e-10
Epoch 169, Average Loss 4.2123785172123094e-10
Epoch 170, Average Loss 6.891885161741978e-10
Test Loss: 2.680172948759177e-07
Epoch 171, Average Loss 2.129999656154815e-10
Epoch 172, Average Loss 4.104674299447881e-10
Epoch 173, Average Loss 3.0159309671882085e-10
Epoch 174, Average Loss 2.0175428633372556e-10
Epoch 175, Average Loss 2.649916513913599e-10
Epoch 176, Average Loss 1.687133054515143e-10
Epoch 177, Average Loss 6.431309731209518e-10
Epoch 178, Average Loss 4.740645313371789e-10
Epoch 179, Average Loss 1.9728274323594932e-10
Epoch 180, Average Loss 3.2529606160195724e-10
Test Loss: 2.52865083008591e-07
Epoch 181, Average Loss 6.021632423967842e-10
Epoch 182, Average Loss 3.3069090654983717e-09
Epoch 183, Average Loss 3.597616900171116e-09
Epoch 184, Average Loss 1.7877235335543778e-09
Epoch 185, Average Loss 3.722288016011488e-10
Epoch 186, Average Loss 1.5128198860643822e-10
Epoch 187, Average Loss 5.218764653898791e-10
Epoch 188, Average Loss 5.139489377165809e-09
Epoch 189, Average Loss 4.5486843146258504e-09
Epoch 190, Average Loss 6.044632384817212e-09
Test Loss: 2.4620178361452714e-07
Epoch 191, Average Loss 6.210009618744432e-09
Epoch 192, Average Loss 1.0255642823745687e-09
Epoch 193, Average Loss 1.5706183764779765e-08
Epoch 194, Average Loss 7.066702132394437e-09
Epoch 195, Average Loss 5.022914537447274e-09
Epoch 196, Average Loss 1.2239894217587494e-08
Epoch 197, Average Loss 1.3562043755953868e-08
Epoch 198, Average Loss 7.335589282369751e-09
Epoch 199, Average Loss 4.215025403383786e-09
Epoch 200, Average Loss 1.4969525019919292e-08
Test Loss: 2.462805374027835e-07
Epoch 201, Average Loss 1.7180886088994625e-08
Epoch 202, Average Loss 1.871337302381509e-08
Epoch 203, Average Loss 5.319027739926854e-09
Epoch 204, Average Loss 1.4108948408891875e-08
Epoch 205, Average Loss 1.9875661239305383e-08
Epoch 206, Average Loss 2.2528556256639942e-08
Epoch 207, Average Loss 2.7335251362289974e-08
Epoch 208, Average Loss 9.542961864601195e-09
Epoch 209, Average Loss 1.868917194289031e-08
Epoch 210, Average Loss 3.5493234911621463e-07
Test Loss: 3.663012702048718e-07
Epoch 211, Average Loss 8.034090961572604e-08
Epoch 212, Average Loss 6.197457668433722e-08
Epoch 213, Average Loss 2.0524943138197603e-08
Epoch 214, Average Loss 2.7789200080655565e-08
Epoch 215, Average Loss 8.098394329117162e-08
Epoch 216, Average Loss 3.934396121414244e-08
Epoch 217, Average Loss 3.535209969418444e-08
Epoch 218, Average Loss 8.570598934667974e-09
Epoch 219, Average Loss 3.5998416616721945e-08
Epoch 220, Average Loss 3.531021351927617e-08
Test Loss: 2.1925586253246364e-07
Epoch 221, Average Loss 5.546354086870405e-07
Epoch 222, Average Loss 5.32560492020933e-07
Epoch 223, Average Loss 1.7010713441295811e-07
Epoch 224, Average Loss 2.5809020013269227e-08
Epoch 225, Average Loss 1.9734635057572085e-08
Epoch 226, Average Loss 1.560985991741095e-08
Epoch 227, Average Loss 4.35308441868496e-08
Epoch 228, Average Loss 2.1239389927550064e-08
Epoch 229, Average Loss 1.983677047781468e-08
Epoch 230, Average Loss 2.7643347307846177e-08
Test Loss: 2.671892971761736e-07
Epoch 231, Average Loss 3.471740516658861e-08
Epoch 232, Average Loss 1.1243992107177797e-07
Epoch 233, Average Loss 2.433246090256468e-07
Epoch 234, Average Loss 2.2352495308273045e-08
Epoch 235, Average Loss 4.766980161381665e-08
Epoch 236, Average Loss 3.44965756710761e-08
Epoch 237, Average Loss 6.259012215687693e-08
Epoch 238, Average Loss 3.7505146414085765e-08
Epoch 239, Average Loss 2.3295207322209862e-08
Epoch 240, Average Loss 9.372771750428438e-08
Test Loss: 3.969341499376888e-08
Epoch 241, Average Loss 4.478485691805785e-08
Epoch 242, Average Loss 9.615675802399363e-08
Epoch 243, Average Loss 1.7467554167791387e-07
Epoch 244, Average Loss 2.3275003596000248e-07
Epoch 245, Average Loss 4.303495796850989e-07
Epoch 246, Average Loss 4.663844869390732e-08
Epoch 247, Average Loss 1.7836441014212118e-08
Epoch 248, Average Loss 7.347488564685215e-08
Epoch 249, Average Loss 1.0685685623230914e-07
Epoch 250, Average Loss 6.593182466511546e-08
Test Loss: 2.373912515452048e-07
Epoch 251, Average Loss 1.7133477798269703e-07
Epoch 252, Average Loss 1.3654237736533065e-07
Epoch 253, Average Loss 1.7820653085125677e-07
Epoch 254, Average Loss 1.2579165981707186e-07
Epoch 255, Average Loss 1.6791166966831185e-07
Epoch 256, Average Loss 2.5190842118882193e-07
Epoch 257, Average Loss 2.039477805540655e-07
Epoch 258, Average Loss 9.244669663824769e-08
Epoch 259, Average Loss 1.1196682251680845e-07
Epoch 260, Average Loss 2.480948093489996e-07
Test Loss: 3.2661261428756916e-07
Epoch 261, Average Loss 1.936960106344489e-07
Epoch 262, Average Loss 1.4723844166967759e-07
Epoch 263, Average Loss 2.120482756473304e-07
Epoch 264, Average Loss 1.983943136553441e-07
Epoch 265, Average Loss 1.7604150646926193e-07
Epoch 266, Average Loss 1.5375149124046756e-07
Epoch 267, Average Loss 8.519035697408542e-08
Epoch 268, Average Loss 1.901519811594967e-07
Epoch 269, Average Loss 1.2665900939917214e-07
Epoch 270, Average Loss 2.645874209517148e-07
Test Loss: 8.157923012674928e-08
Epoch 271, Average Loss 1.2102248051383703e-07
Epoch 272, Average Loss 1.6946639567307093e-07
Epoch 273, Average Loss 1.0984857242495091e-07
Epoch 274, Average Loss 2.0711093189829532e-07
Epoch 275, Average Loss 1.7212030596853384e-07
Epoch 276, Average Loss 2.0580841483503132e-07
Epoch 277, Average Loss 1.3239978546852882e-07
Epoch 278, Average Loss 1.506616888237321e-07
Epoch 279, Average Loss 1.668955117791144e-07
Epoch 280, Average Loss 1.5619052150865671e-07
Test Loss: 8.546551804045066e-08
Epoch 281, Average Loss 1.5052421592709335e-07
