Epoch 0, Average Loss 101.03515613225254
Test Loss: 0.020175754185765983
Epoch 1, Average Loss 0.01309064326548501
Epoch 2, Average Loss 0.007759220709529104
Epoch 3, Average Loss 0.004348699875836131
Epoch 4, Average Loss 0.002339488949001873
Epoch 5, Average Loss 0.0012503702663580734
Epoch 6, Average Loss 0.0006740977221368989
Epoch 7, Average Loss 0.00036453743409247525
Epoch 8, Average Loss 0.00019446227208068712
Epoch 9, Average Loss 0.00010086472716869173
Epoch 10, Average Loss 5.044887485048922e-05
