Epoch 0, Average Loss 122.28545921206286
Test Loss: 0.17600424736738204
Epoch 1, Average Loss 0.05126592028544202
Epoch 2, Average Loss 0.02879473512337979
Epoch 3, Average Loss 0.032020032732995064
Epoch 4, Average Loss 0.02161785740334588
Epoch 5, Average Loss 0.02904277965809584
Epoch 6, Average Loss 0.024435935080746967
Epoch 7, Average Loss 0.022726361659691444
Epoch 8, Average Loss 0.02744007250883534
Epoch 9, Average Loss 0.010143371406114435
Epoch 10, Average Loss 0.014627517335105074
Test Loss: 0.0037063517869682983
Epoch 11, Average Loss 0.00665224733474352
Epoch 12, Average Loss 0.0027061282156795687
Epoch 13, Average Loss 0.002230240670887494
Epoch 14, Average Loss 0.004739549010071043
Epoch 15, Average Loss 0.014039411914646862
Epoch 16, Average Loss 0.008896558087605016
Epoch 17, Average Loss 0.008643874683037189
Epoch 18, Average Loss 0.006039495160471637
Epoch 19, Average Loss 0.01830725412122475
